"Project.Name","PlatformPortfolio","agg_val","agg_val_recent","TopProjectTest_rank_total","TopProjectTest_rank_recent","TopProjectTest"
"AN/APD-7 RADAR","Missile Defense",1661922.89072734,0,69,46,NA
"REFRIGERATION EQUIPMENT","Facilities and Construction",1659892.99812579,0,68,77,NA
"ANTENNA IMPROV PLAN","Electronics, Comms, & Sensors",1658902.15491222,0,484,361,NA
"IMAGERY PROCESSING SYSTEM","Electronics, Comms, & Sensors",1650245.82465097,0,485,361,NA
"AH-64E New Build","Facilities and Construction",1644803.4707877,934303.470787701,69,9,NA
"TEST SET AIR DATA COMPUTE","Electronics, Comms, & Sensors",1642779.08043138,0,486,361,NA
"U S ROLAND","Missile Defense",1640776.94381933,0,70,46,NA
"INTGR FAMILY OF TEST EQUI","Aircraft",1634298.32895035,0,352,252.5,NA
"FORK LIFT 10000 LB DD PT","Land Vehicles",1630255.26862038,0,139,110,NA
"DEAMS Inc 1","Facilities and Construction",1618001.45921895,0,70,77,NA
"2GNR","Ships & Submarines",1616153.49844059,0,168,128.5,NA
"AN/PRC-25 RADIO","Electronics, Comms, & Sensors",1611483.98378791,0,487,361,NA
"CG(X)","Ships & Submarines",1603638.93907658,0,169,128.5,NA
"SEMI TRAILER 20 TON","Land Vehicles",1602202.2410737,0,140,110,NA
"20MM GUN (HS)","Ordnance and Missiles",1600413.73183345,0,226,177.5,NA
"60MM HE XM720","Ordnance and Missiles",1592836.02690957,0,227,177.5,NA
"AN/PVS-4 SIGHT","Ordnance and Missiles",1587030.96472957,0,228,177.5,NA
"AQM-38","Aircraft",1585458.03647386,0,353,252.5,NA
"38 CALIBER","Ordnance and Missiles",1579474.121488,0,229,177.5,NA
"SPS","Ordnance and Missiles",1575555.78095638,0,230,177.5,NA
"AHW","Aircraft",1563409.89566621,0,354,252.5,NA
"AUTO TEST SUPPORT SYS","Aircraft",1558203.95099336,0,355,252.5,NA
"CDMS","Electronics, Comms, & Sensors",1556373.5154502,0,488,361,NA
"AN/APG-59 RADAR","Missile Defense",1547718.12182328,0,71,46,NA
"T-76","Aircraft",1546968.27601907,0,356,252.5,NA
"OTH-B","Electronics, Comms, & Sensors",1513807.41191476,0,489,361,NA
"AN/WRC-1","Electronics, Comms, & Sensors",1496881.19897025,0,490,361,NA
"155 MM HIP","Land Vehicles",1495808.24179248,0,141,110,NA
"NSIPS","Other R&D and Knowledge Based",1494509.51614533,0,66,59.5,NA
"LOW BED 52 1/2 TON M747","Land Vehicles",1470934.20528049,0,142,110,NA
"AN/MLQ-34 COUNTERMEASURES","Electronics, Comms, & Sensors",1469650.47896388,0,491,361,NA
"466L ELECTROMAGNETIC INTE","Electronics, Comms, & Sensors",1459877.11743568,0,492,361,NA
"81MM SP MORTAR M125","Ordnance and Missiles",1456430.99074016,0,231,177.5,NA
"I0-360D","Aircraft",1453157.46271638,0,357,252.5,NA
"H-34 SEAHORSE/SEABAT","Aircraft",1452025.0919239,0,358,252.5,NA
"NSIPS","Ordnance and Missiles",1443756.36129832,0,232,177.5,NA
"C-123 PROVIDER","Aircraft",1438554.04657349,0,359,252.5,NA
"CV-7 BUFFALO","Aircraft",1433564.22777335,0,360,252.5,NA
"AUTO TEST SYSTEM A15/DQ/G","Other R&D and Knowledge Based",1430821.07045503,0,67,59.5,NA
"CGN-38","Aircraft",1412545.97276605,0,361,252.5,NA
"Distributed Common Ground System - Army Increment 2 (DCGS-A Inc 2)","Electronics, Comms, & Sensors",1403826.25879058,253895.747524102,493,34,NA
"DCGS-N INC 2","Electronics, Comms, & Sensors",1402562.23464867,0,494,361,NA
"TOOL OUTFIT HYD REPAIR","Facilities and Construction",1396682.76597697,0,71,77,NA
"466","Ordnance and Missiles",1390213.81707819,0,233,177.5,NA
"TEST SET RCVR  CTRL ALM19","Electronics, Comms, & Sensors",1388641.01808398,0,495,361,NA
"F-102 DELTA DAGGER","Aircraft",1382979.66798691,0,362,252.5,NA
"PKI","Facilities and Construction",1362501.0025975,0,72,77,NA
"DUMP 20T CE","Land Vehicles",1360743.62244971,0,143,110,NA
"AN/PAS-7","Electronics, Comms, & Sensors",1354613.92147978,0,496,361,NA
"FFG-7","Ships & Submarines",1350623.61756149,-1686.0484712954,170,240,NA
"MULTI SYS TEST EQUIP (MTE","Facilities and Construction",1349327.50679238,0,73,77,NA
"CARRIER CARGO M548","Land Vehicles",1340114.19204591,0,144,110,NA
"AN/PSC-2 DIG COMM TERM","Electronics, Comms, & Sensors",1339517.52624443,0,497,361,NA
"F-80 SHOOTING STAR","Aircraft",1335679.88768446,0,363,252.5,NA
"DMS","Ordnance and Missiles",1330374.1810644,0,234,177.5,NA
"AUTO TEST SYSTEM A15/DQ/G","Electronics, Comms, & Sensors",1322408.21963685,0,498,361,NA
"AN/TYA-11 COMM CENTRAL","Electronics, Comms, & Sensors",1316661.01411754,0,499,361,NA
"PHYSICAL SECURITY SYSTEMS","Electronics, Comms, & Sensors",1308289.55969308,0,500,361,NA
"RESEARCH SHP TECHNICAL-AG","Ships & Submarines",1306017.01118519,0,171,128.5,NA
"CBU-3 DISPENSER + BOMB","Land Vehicles",1304974.09433555,0,145,110,NA
"NATO PHM","Ships & Submarines",1297095.93651261,0,172,128.5,NA
"2CPJ","Space Systems",1290254.20725755,0,49,34,NA
"AIR CONDITIONER MA-3","Facilities and Construction",1289515.85552061,0,74,77,NA
"AIR CONDITIONER AM32C10C","Aircraft",1280493.34620556,0,364,252.5,NA
"30-E EMU GENERATOR","Aircraft",1275928.65013849,0,365,252.5,NA
"C-142","Aircraft",1256933.33683072,0,366,252.5,NA
"SADARM","Ordnance and Missiles",1255422.23258268,0,235,177.5,NA
"BCS-M","Electronics, Comms, & Sensors",1251968.929671,0,501,361,NA
"GIL","Facilities and Construction",1240139.25736824,0,75,77,NA
"Department of Defense Healthcare Management System Modernization (DHMSM)","Other Products",1234498.03613614,0,23,31.5,NA
"MULTI SYS TEST EQUIP (MTE","Land Vehicles",1214783.10263181,0,146,110,NA
"SPARROW (AIM-7M) (AF)","Ordnance and Missiles",1211834.72949835,0,236,177.5,NA
"3FBU","Ordnance and Missiles",1197286.24435255,0,237,177.5,NA
"LMP","Electronics, Comms, & Sensors",1194117.59925816,0,502,361,NA
"AN/APN-218 DOPPLER","Electronics, Comms, & Sensors",1188831.37545514,0,503,361,NA
"AN/BQR-19 TOPHAT","Electronics, Comms, & Sensors",1174379.15567426,0,504,361,NA
"10KW 60 CYCLE GE","Electronics, Comms, & Sensors",1171109.66057935,0,505,361,NA
"TSEC/KG-23","Electronics, Comms, & Sensors",1166681.02956353,0,506,361,NA
"M 32-60A","Electronics, Comms, & Sensors",1162445.72951434,0,507,361,NA
"HVY EXPANDED MOB. AMMO TR","Land Vehicles",1161736.18692279,0,147,110,NA
"GYZ","Other R&D and Knowledge Based",1158444.71362312,0,68,59.5,NA
"U-21 UTE","Aircraft",1153959.31496089,0,367,252.5,NA
"CARGO 1/2 TON 4X2 PICKUP","Land Vehicles",1146805.71389805,0,148,110,NA
"UUM-44 SUBROC","Ordnance and Missiles",1144571.43891348,0,238,177.5,NA
"SGT YORK GUN (DIVAD)","Aircraft",1139466.58039294,0,368,252.5,NA
"EBE","Ordnance and Missiles",1134698.14274397,-309470.316377564,239,326,NA
"AN/TPS-47","Electronics, Comms, & Sensors",1127431.71235006,0,508,361,NA
"1 1/4 TON ABT CS","Land Vehicles",1125281.21442442,0,149,110,NA
"20MM GUN (VULCAN) M61","Ordnance and Missiles",1101217.89762387,0,240,177.5,NA
"PERSHING II","Ordnance and Missiles",1088642.66859817,0,241,177.5,NA
"AN/TSC-26 BASE RADIO","Electronics, Comms, & Sensors",1088163.98453877,0,509,361,NA
"GFEBS","Facilities and Construction",1078801.6659034,0,76,77,NA
"AGM-87","Ordnance and Missiles",1078144.10078245,0,242,177.5,NA
"GROUND COMMAND POST","Electronics, Comms, & Sensors",1072346.3705505,0,510,361,NA
"479","Other R&D and Knowledge Based",1048587.52442021,0,69,59.5,NA
"487M SPECIAL PURP COMM SY","Electronics, Comms, & Sensors",1048528.12517445,0,511,361,NA
"AEC","Other R&D and Knowledge Based",1047830.59338932,0,70,59.5,NA
"AN/TSC-61 FLIGHT COORD CT","Electronics, Comms, & Sensors",1047543.99648411,0,512,361,NA
"VH-92A","Land Vehicles",1044801.03151851,0,150,110,NA
"1FVD","Ordnance and Missiles",1044187.330534,0,243,177.5,NA
"KMI","Facilities and Construction",1043240.92612575,0,77,77,NA
"SIDWINGER (AIM-9M) (N)","Ships & Submarines",1034857.46797512,0,173,128.5,NA
"DEAMS Inc 1","Other R&D and Knowledge Based",1030368.01399042,0,71,59.5,NA
"PKI","Other Products",1029762.36708205,0,24,31.5,NA
"H-2 SEASPRITE","Ordnance and Missiles",1029711.90300203,0,244,177.5,NA
"Advanced Pilot Training (APT)","Electronics, Comms, & Sensors",1029016.70710494,86583.7118521149,513,36,NA
"GNP","Electronics, Comms, & Sensors",1025973.30551254,0,514,361,NA
"478T CTC (TRI-TAC)","Electronics, Comms, & Sensors",1025139.63102095,0,515,361,NA
"DEAMS","Electronics, Comms, & Sensors",1020303.14103751,0,516,361,NA
"AN/URN-25","Electronics, Comms, & Sensors",1015068.55548704,0,517,361,NA
"TMIP","Other R&D and Knowledge Based",1014019.91533647,0,72,59.5,NA
"F-86 SABRE","Aircraft",1011169.24347941,0,369,252.5,NA
"PQM-56","Electronics, Comms, & Sensors",992617.476506954,0,518,361,NA
"CARRIER ATTACK-CVA-19","Ships & Submarines",992164.127605119,0,174,128.5,NA
"MK-84 GEN PURPOSE","Electronics, Comms, & Sensors",992125.357989548,0,519,361,NA
"ACWS","Other R&D and Knowledge Based",988925.843535999,0,73,59.5,NA
"CITS","Other R&D and Knowledge Based",988882.620756884,0,74,59.5,NA
"GFEBS","Electronics, Comms, & Sensors",983491.867252556,0,520,361,NA
"AHTSQ-111(Z)","Electronics, Comms, & Sensors",965340.02218117,0,521,361,NA
"MODERNIZATION","Other Services",963023.558762579,0,20,20,NA
"NON-SYSTEM TRAINING DEVIC","Space Systems",961307.703650306,0,50,34,NA
"B-26 INVADER","Aircraft",960228.999146426,0,370,252.5,NA
"M-728 COMBAT","Ordnance and Missiles",955875.685466691,0,245,177.5,NA
"72 KW","Electronics, Comms, & Sensors",953700.395988576,0,522,361,NA
"DD 963","Aircraft",935967.953821357,0,371,252.5,NA
"AIR CONDITIONER AM32C10C","Facilities and Construction",934645.679835471,0,78,77,NA
"SUBMARINE AUXILARY-AGSS(R","Ships & Submarines",929592.601912252,0,175,128.5,NA
"DCD/DCW","Other R&D and Knowledge Based",924838.343933307,0,75,59.5,NA
"492L US STRICOM COMMAND C","Electronics, Comms, & Sensors",922964.267728212,0,523,361,NA
"T-28 TROJAN","Ordnance and Missiles",921697.192307556,0,246,177.5,NA
"FORK LIFT 15000 LB","Land Vehicles",917449.613810366,0,151,110,NA
"Integrated Strategic Planning and Analysis Network Increment 4 (ISPAN Inc 4)","Electronics, Comms, & Sensors",916677.591246472,468687.552036199,524,30,NA
"NAVY EPS","Electronics, Comms, & Sensors",914621.446094207,0,525,361,NA
"MODERNIZATION","Space Systems",914461.44010409,0,51,34,NA
"SPS","Space Systems",912234.94615862,0,52,34,NA
"HANGER AIRCRAFT","Facilities and Construction",908595.279357492,0,79,77,NA
"NAVY EPS","Facilities and Construction",888137.180345878,0,80,77,NA
"CBDP","Ordnance and Missiles",886612.892245937,0,247,177.5,NA
"CRAWLER T-11 W/RIPPER CCE","Land Vehicles",881099.196468623,0,152,110,NA
"AN/TSQ-18 LANDING CNTRL C","Electronics, Comms, & Sensors",879832.852888425,0,526,361,NA
"LAB PETROLEUM MODULAR BAS","Facilities and Construction",873205.043330152,0,81,77,NA
"Defense Enterprise Office Solution (DEOS)","Electronics, Comms, & Sensors",871547.101919097,293051.601315455,527,32,NA
"AN/WSC-3 SHIPBOARD SATCOM","Electronics, Comms, & Sensors",863494.203113673,0,528,361,NA
"AN/TSQ-43 INTERPRETATION","Ships & Submarines",861645.542483607,0,176,128.5,NA
"J-33","Aircraft",853762.711071065,0,372,252.5,NA
"DSP","Space Systems",853655.819587642,0,53,34,NA
"7.62MM M73 MACHINE GUN","Ordnance and Missiles",848523.723405405,0,248,177.5,NA
"ACWS","Electronics, Comms, & Sensors",847268.818035963,35463.4458492687,529,38,NA
"DESTROYER DE 1101","Ships & Submarines",847062.207742267,0,177,128.5,NA
"U-1 OTTER","Aircraft",841481.933202284,0,373,252.5,NA
"SPS","Land Vehicles",840914.258772052,0,153,110,NA
"AN/APQ-161","Other R&D and Knowledge Based",839843.245743914,0,76,59.5,NA
"AN/BQU-17 DEPTH SOUNDER","Electronics, Comms, & Sensors",839782.063030779,0,530,361,NA
"AN/TPX-50 (MARK XIFF ATCR","Electronics, Comms, & Sensors",836718.684015148,0,531.5,361,NA
"FIREBRAND TARGET","Electronics, Comms, & Sensors",836718.684015148,0,531.5,361,NA
"BUNKER DEFEATING MUNITION","Ordnance and Missiles",830619.406296878,0,249,177.5,NA
"AN/TXQ-3 RADAR RELAY SET","Electronics, Comms, & Sensors",813256.783090878,0,533,361,NA
"466","Electronics, Comms, & Sensors",808728.902348367,0,534,361,NA
"421","Aircraft",804491.667142528,0,374,252.5,NA
"DEAMS Inc 1","Other Products",802465.194879371,0,25,31.5,NA
"AIR CARGO MATERIALS HAND","Other Products",799329.398977802,0,26,31.5,NA
"LOADER A/C 40K","Land Vehicles",798659.125889527,0,154,110,NA
"H/LGM 25 TITAN","Electronics, Comms, & Sensors",796948.667876408,0,535,361,NA
"483L DIGITAL COMM SYS","Electronics, Comms, & Sensors",794954.826337506,0,536,361,NA
"C-54 SKYMASTER","Aircraft",778407.811175556,0,375,252.5,NA
"CARGO 1/2 TON 4X2","Land Vehicles",775630.571060198,0,155,110,NA
"E-5","Aircraft",771295.511780191,0,376,252.5,NA
"INSTR TRK FBM TAGM-22","Ships & Submarines",771191.195806733,0,178,128.5,NA
"LOADER A/C 40K","Aircraft",771082.635790407,0,377,252.5,NA
"AN/UXC-4","Electronics, Comms, & Sensors",763537.292250671,0,537,361,NA
"RV-1","Ships & Submarines",760080.113870867,0,179,128.5,NA
"SFW","Ordnance and Missiles",758318.973175966,0,250,177.5,NA
"CARRIER ANTI-SUB SUPT-CVS","Ships & Submarines",756048.631613369,0,180,128.5,NA
"AN/TRC-97A","Electronics, Comms, & Sensors",755193.129827545,0,538,361,NA
"GNP","Other R&D and Knowledge Based",732019.955232126,0,77,59.5,NA
"TT-624 (A)(V) TELEPRNTR","Aircraft",730191.792363411,0,378,252.5,NA
"TACIT RAINBOW MISSILE","Ordnance and Missiles",729278.116479633,0,251,177.5,NA
"436M SAC CMD & CTRL","Aircraft",729250.229187515,0,379,252.5,NA
"H-52","Aircraft",727399.734008832,0,380,252.5,NA
"MK42 MOD-10 5.54 GUN MOUN","Ships & Submarines",722545.568710685,0,181,128.5,NA
"AN/TRS-2","Electronics, Comms, & Sensors",721870.842039831,0,539,361,NA
"FCA","Other R&D and Knowledge Based",718683.083368954,0,78,59.5,NA
"CBDP","Other Products",707591.900978231,0,27,31.5,NA
"AN/PRC-68","Electronics, Comms, & Sensors",697405.744383394,0,540,361,NA
"MGM-31 PERSHING","Ordnance and Missiles",696404.541610892,0,252,177.5,NA
"TACFIRE","Electronics, Comms, & Sensors",693305.92922674,0,541,361,NA
"CRASH P-10","Aircraft",692348.272351309,0,381,252.5,NA
"SPS","Other Products",687201.489904755,0,28,31.5,NA
"Air Force Integrated Personnel and Pay System Increment 1 (AFIPPS Inc 1)","Electronics, Comms, & Sensors",682694.299465953,0,542,361,NA
"MULTI SYS TEST EQUIP (MTE","Aircraft",680774.598944896,0,382,252.5,NA
"DLS","Other R&D and Knowledge Based",669256.499298257,0,79,59.5,NA
"AUTO TEST SUPPORT SYS","Electronics, Comms, & Sensors",666582.152337947,0,543,361,NA
"VAN ELECTRONIC 6 TON M373","Electronics, Comms, & Sensors",665952.031158268,0,544,361,NA
"2ACS","Aircraft",657955.44347112,0,383,252.5,NA
"IMPROVED RADAR SIMULATOR","Missile Defense",656297.027424724,0,72,46,NA
"MLR","Electronics, Comms, & Sensors",654664.194615564,0,545,361,NA
"C-45 NAVIGATOR","Electronics, Comms, & Sensors",654143.253332085,0,546,361,NA
"MX-9644 IMAGE INTENSIFIER","Electronics, Comms, & Sensors",649705.887041215,0,547,361,NA
"2GDM","Electronics, Comms, & Sensors",645903.688471785,0,548,361,NA
"LOADER A/C 40K","Ordnance and Missiles",643102.083720295,0,253,177.5,NA
"XM-723 IFV","Land Vehicles",642697.551118694,0,156,110,NA
"AN/SQS-23 SONAR","Electronics, Comms, & Sensors",641608.278850111,0,549,361,NA
"HYDRAULIC TEST STAND MK-3","Aircraft",641400.999540568,0,384,252.5,NA
"CARRIER VULCAN SP XM-741","Land Vehicles",637281.786947728,0,157,110,NA
"2DBE","Aircraft",629690.259556976,0,385,252.5,NA
"ADV AVIATION BASED SHIP-A","Ships & Submarines",626072.443462543,0,182,128.5,NA
"MNSWEEPER COSTL NON-MAG-M","Ships & Submarines",622097.380329447,0,183,128.5,NA
"CALIBRATOR WETTMETER","Electronics, Comms, & Sensors",619021.431159402,0,550,361,NA
"DPPS","Other R&D and Knowledge Based",617568.805199973,0,80,59.5,NA
"AN/SYQ 2/3/4 NTDS DATA SY","Electronics, Comms, & Sensors",611143.996647339,0,551,361,NA
"ESGN TEST EQUIP","Aircraft",607563.40127497,0,386,252.5,NA
"AN/FRC-155 162","Electronics, Comms, & Sensors",604510.05840544,0,552,361,NA
"PHYSICAL SECURITY SYSTEMS","Aircraft",601493.855725069,0,387,252.5,NA
"GCCS-A","Electronics, Comms, & Sensors",598341.023464059,0,553,361,NA
"GENERATING PLNTS TRL MTD","Land Vehicles",596801.80963722,0,158,110,NA
"NON-SYSTEM TRAINING DEVIC","Ordnance and Missiles",592892.484228655,0,254,177.5,NA
"N78","Facilities and Construction",585556.380708231,0,82,77,NA
"AN/SPG-51 RADAR","Electronics, Comms, & Sensors",579089.668867896,0,554,361,NA
"CBU-89 TMD/GATOR","Ordnance and Missiles",578881.209114457,0,255,177.5,NA
"AN/APQ-161","Electronics, Comms, & Sensors",571027.994401071,0,555,361,NA
"HAND FRAG ALL TYPES","Ordnance and Missiles",567866.41234773,0,256,177.5,NA
"BSM","Facilities and Construction",561012.569042068,0,83,77,NA
"MULTI SYS TEST EQUIP (MTE","Ordnance and Missiles",560675.583177276,0,257,177.5,NA
"FORKLIFT 6000 LB","Facilities and Construction",558390.282339171,0,84,77,NA
"AUTO TEST SUPPORT SYS","Land Vehicles",557558.75139097,0,159,110,NA
"NON-SYSTEM TRAINING DEVIC","Facilities and Construction",556672.60344971,0,85,77,NA
"GCSS-A INC 1","Aircraft",552771.20092899,0,388,252.5,NA
"MOBILE ARRESTING BARRIERS","Other R&D and Knowledge Based",548794.306043947,0,81,59.5,NA
"MSE","Facilities and Construction",548099.04271447,0,86,77,NA
"NON-SYSTEM TRAINING DEVIC","Other Products",545826.843195457,0,29,31.5,NA
"AIR TRAFFIC CNTL COMM CON","Facilities and Construction",545045.527798983,0,87,77,NA
"CHASSIS CARRIER XM-730","Land Vehicles",540278.268602923,0,160,110,NA
"TSEC HYL-3/4","Electronics, Comms, & Sensors",539911.300420094,0,556,361,NA
"AN/SRC-27 RADIO","Electronics, Comms, & Sensors",539180.913249621,0,557,361,NA
"Convergence","Other R&D and Knowledge Based",534643.797462148,0,82,59.5,NA
"AN/TCC-45 MULTIPLEXER SET","Electronics, Comms, & Sensors",532583.965365644,0,558,361,NA
"MOBILE ARRESTING BARRIERS","Other Products",532444.352867856,0,30,31.5,NA
"AN/PRC-70 RADIO SET","Electronics, Comms, & Sensors",531765.009744163,0,559,361,NA
"BRIDGE FLOAT RIBBON RAMP","Land Vehicles",530670.928268251,0,161,110,NA
"ALAM","Ordnance and Missiles",529344.17407895,0,258,177.5,NA
"FIREFIGHTING SET M530","Electronics, Comms, & Sensors",526112.547831073,0,560,361,NA
"B-57 CANBERRA","Aircraft",523082.039371249,0,389,252.5,NA
"GWEN","Electronics, Comms, & Sensors",518745.738868964,0,561,361,NA
"1.5KW 28V MILITARY DESIGN","Electronics, Comms, & Sensors",514178.647871446,0,562,361,NA
"1CRN","Ordnance and Missiles",502805.217380429,0,259,177.5,NA
"SIDEWINDER (AIM-9L) (N)","Ordnance and Missiles",498672.673481038,0,260,177.5,NA
"TT-624 (A)(V) TELEPRNTR","Electronics, Comms, & Sensors",497061.296127538,0,563,361,NA
"N88","Electronics, Comms, & Sensors",495286.845460919,0,564,361,NA
"REMOTE SENSING CHEM AGENT","Other Products",489945.901641755,0,31,31.5,NA
"PICKUP 1/2 TON 4X2","Electronics, Comms, & Sensors",487733.922632915,0,565,361,NA
"TOMHWK STRIKE COOR MDLE (","Ordnance and Missiles",485294.73326779,0,261,177.5,NA
"AIR TRAFFIC CNTL COMM CON","Land Vehicles",484898.360966276,0,162,110,NA
"DJAS","Other R&D and Knowledge Based",484065.852064519,0,83,59.5,NA
"<5KW 60 CYCLE GE","Land Vehicles",482162.733625924,0,163,110,NA
"AN/PSG-2 MESSAGE DEVICE","Electronics, Comms, & Sensors",479965.527651158,0,566,361,NA
"MQ-9 Reaper","Other Products",479574.195213963,0,32,31.5,NA
"<60 KW","Electronics, Comms, & Sensors",479214.185593563,0,567,361,NA
"QM-107 GD MSL TGT SYS","Facilities and Construction",477348.614235119,0,88,77,NA
"AN/UGC-141","Electronics, Comms, & Sensors",470989.405233768,0,568,361,NA
"ACWS","Land Vehicles",466236.658076673,0,164,110,NA
"DEF METEOR SAT PROG","Other R&D and Knowledge Based",463094.855005627,0,84,59.5,NA
"RV-1","Other Products",460701.218633571,0,33,31.5,NA
"3/4 TON 4X2 NTV MAINT TRU","Land Vehicles",457434.759183474,0,165,110,NA
"SCRAPER TRACTOR 15-16 CU","Facilities and Construction",449666.021036138,0,89,77,NA
"SUBMARINE SS MODERNIZED","Ships & Submarines",446830.56976023,0,184,128.5,NA
"AN/VCC-1","Electronics, Comms, & Sensors",443582.152427537,0,569,361,NA
"2CNR","Aircraft",440947.078334544,0,390,252.5,NA
"CLOSE COMBAT TACTICAL TRA","Facilities and Construction",437192.391231647,0,90,77,NA
"ACWS","Facilities and Construction",436300.29693428,154346.89843428,91,11,NA
"DEICING UNIT ACFT","Aircraft",432580.596089261,0,391,252.5,NA
"60MM","Ordnance and Missiles",432556.684068725,0,262,177.5,NA
"CARGO UTILITY 1/2 TON 4X2","Land Vehicles",431792.898861028,0,166,110,NA
"STATUS OF FORCES AGREEMENT","Other Products",427262.534502605,0,34,31.5,NA
"STRATEGIC SEALIFT","Ships & Submarines",425026.676285944,0,185,128.5,NA
"DSCS III","Space Systems",424016.714383729,0,54,34,NA
"AIR TRAFFIC CNTL COMM CON","Aircraft",422978.071568646,0,392,252.5,NA
"2SGK","Ships & Submarines",417118.429566116,0,186,128.5,NA
"1GIK","Ordnance and Missiles",414801.512095441,0,263,177.5,NA
"LACV-30 AIR CUSH VEH 25-3","Ships & Submarines",409734.671607723,0,187,128.5,NA
"C-140 JET STAR","Aircraft",405751.62296956,0,393,252.5,NA
"SIGNAL ILLUM GND WS PCHTM","Facilities and Construction",403006.705603626,0,92,77,NA
"TCAIMS II","Electronics, Comms, & Sensors",402514.874352263,0,570,361,NA
"<60 KW","Other R&D and Knowledge Based",400149.280079645,0,85,59.5,NA
"AN/TRU-6 TRANSMITTER","Electronics, Comms, & Sensors",397506.313309551,0,571,361,NA
"CBU-7 DISPENSER + BOMB","Land Vehicles",394927.570916049,0,167,110,NA
"MD-4","Aircraft",392431.038232239,0,394,252.5,NA
"2GFM","Electronics, Comms, & Sensors",391900.533226395,0,572,361,NA
"DCD/DCW","Other Services",390023.530026999,0,21,20,NA
"COMM RLY SHIP (MAJOR)-AGM","Ships & Submarines",387654.069199679,0,188,128.5,NA
"AN/SLQ-12 ECM","Electronics, Comms, & Sensors",384410.313731458,0,573,361,NA
"TMIP","Other Products",382878.121044313,0,35,31.5,NA
"TRAINER SHERDN WPN SYS XM","Land Vehicles",381896.830548198,0,168,110,NA
"AFU","Electronics, Comms, & Sensors",378034.294796619,0,574,361,NA
"SRAM","Aircraft",372372.336981359,0,395,252.5,NA
"B-58 HUSTLER","Aircraft",368417.336087057,0,396,252.5,NA
"U-8 SEMINOLE","Aircraft",368160.866878057,0,397,252.5,NA
"MISSION DISTRIBUTION SYS","Electronics, Comms, & Sensors",367386.288232605,0,575,361,NA
"AH-56 CHEYENNE","Aircraft",366544.194144251,0,398,252.5,NA
"HAVE QUICK","Electronics, Comms, & Sensors",361730.745111691,0,576,361,NA
"1FDV","Ordnance and Missiles",360384.074207293,0,264,177.5,NA
"DSCS II","Space Systems",360082.879793912,0,55,34,NA
"TOW BAR CLASS I","Aircraft",357108.721345238,0,399,252.5,NA
"F-111 TFX","Aircraft",354842.776373076,0,400,252.5,NA
"ATS","Other R&D and Knowledge Based",354310.851467218,0,86,59.5,NA
"2CNR","Electronics, Comms, & Sensors",348050.079907854,0,577,361,NA
"2GID","Ships & Submarines",346899.842859299,0,189,128.5,NA
"JSTARS RECAP","Other R&D and Knowledge Based",343886.594033125,0,87,59.5,NA
"2GMQ","Facilities and Construction",340669.490187426,0,93,77,NA
"J9-C TANKER ACT CONV OF 7","Aircraft",337880.366313118,0,401,252.5,NA
"SEARCHLIGHT AN/VSS-3","Electronics, Comms, & Sensors",337638.37392439,0,578,361,NA
"M-60 COMBAT 152MM GUN","Land Vehicles",336711.518186859,0,169,110,NA
"DLS","Other Products",335699.149671408,0,36,31.5,NA
"LSD-41","Ships & Submarines",335216.142128893,0,190,128.5,NA
"CARGO 3/4 TON 4X4","Land Vehicles",333624.629930842,0,170,110,NA
"C-118 LIFTMASTER","Aircraft",332000.762235369,0,402,252.5,NA
"DIMHRS","Ships & Submarines",330362.42545705,0,191,128.5,NA
"3CNA","Aircraft",328014.076782538,0,403,252.5,NA
"Advanced Pilot Training (APT)","Other Products",326933.20231094,326933.20231094,37,4,"Advanced Pilot Training (APT)"
"UTILITY 1 1/4 TON M715","Land Vehicles",325955.176913832,0,171,110,NA
"CSSCS CBT SRV SPPT CTRL S","Electronics, Comms, & Sensors",325789.151915344,0,579,361,NA
"F-105 THUNDERCHIEF","Aircraft",324627.986366629,0,404,252.5,NA
"Amphibious Ship Replacement (LX(R))","Ships & Submarines",324405.63921296,0,192,128.5,NA
"1EFI","Ordnance and Missiles",323377.502211076,0,265,177.5,NA
"B-47 STRATOJET","Aircraft",322377.758210558,0,405,252.5,NA
"AN/MRC-HF","Electronics, Comms, & Sensors",322033.303298735,0,580,361,NA
"LLLBGK","Aircraft",320560.779571529,0,406,252.5,NA
"AGM-28 HOUND DOG","Aircraft",318567.205381914,0,407,252.5,NA
"PANEL 1 TON 4X2","Land Vehicles",318034.725398328,0,172,110,NA
"LIFT MJ-1B","Aircraft",316648.125831421,0,408,252.5,NA
"CAUSEWAY FERRIES","Ships & Submarines",316089.7031641,0,193,128.5,NA
"MODERNIZATION","Ordnance and Missiles",311274.34195577,0,266,177.5,NA
"60MM SMK, WP, LWCMS XM722","Ordnance and Missiles",308927.296769135,0,267,177.5,NA
"C-1 TRADER","Electronics, Comms, & Sensors",301906.37680291,0,581,361,NA
"FB-111A","Aircraft",297777.781106245,0,409,252.5,NA
"ZBL","Other Products",296745.103494332,0,38,31.5,NA
"JT8D TURBOFAN ENGINE","Ships & Submarines",294873.118301102,0,194,128.5,NA
"2SGO","Ships & Submarines",294566.858185988,0,195,128.5,NA
"BIGEYE","Facilities and Construction",294154.671849068,0,94,77,NA
"ACWS","Aircraft",291741.276851568,0,410,252.5,NA
