SIC,Part Indicator,SIC Titles and Part Descriptions,1997 NAICS,1997 NAICS Titles and Part Indicators
3519,pt,.   Stationary Engine Radiators,336399,All Other Motor Vehicle Parts Manufacturing (pt)
3519,pt,.   Except Stationary  Engine Radiators,333618,Other Engine Equipment Manufacturing (pt)
3523,,Farm Machinery and Equipment,,
3523,pt,".   Farm Machinery and Equipment (Except Corrals, Stalls, Holding Gates, Hand Hair Clippers for Animals, Farm Conveyors, and Elevators)",333111,Farm Machinery and Equipment Manufacturing
3523,pt,".   Corrals, Stalls, Holding Gates",332323,Ornamental and Architectural Metal Work Manufacturing (pt)
3523,pt,.   Hand Hair Clippers for Animals,332212,Hand and Edge Tool Manufacturing(pt)
3523,pt,".   Farm Conveyors and Farm Elevators, Stackers, and Bale Throwers",333922,Conveyor and Conveying Equipment Manufacturing (pt)
3524,,Lawn and Garden Tractors and Home Lawn and Garden  Equipment,,
3524,pt,.   Lawn and Garden Tractors and Home Lawn and Garden Equipment (Except Nonpowered Lawnmowers),333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
3524,pt,.   Nonpowered Lawnmowers,332212,Hand and Edge Tool  Manufacturing (pt)
3531,,Construction Machinery and Equipment,,
3531,pt,.   Railway Track Maintenance Equipment,33651,Railroad Rolling Stock Manufacturing (pt)
3531,pt,".   Winches, Aerial Work Platforms, and Automotive Wrecker Hoists",333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing (pt)"
3531,pt,.   Other Construction Machinery and Equipment,33312,Construction Machinery Manufacturing
3532,,"Mining Machinery and Equipment, Except Oil and Gas Field  Machinery and Equipment",333131,Mining Machinery and Equipment Manufacturing
3533,,Oil and Gas Field Machinery and Equipment,333132,Oil and Gas Field Machinery and Equipment Manufacturing
3534,,Elevators and Moving Stairways,333921,Elevator and Moving Stairway Manufacturing
3535,,Conveyors and Conveying Equipment,333922,Conveyor and Conveying Equipment Manufacturing (pt)
3536,,"Overhead Traveling Cranes, Hoists, and Monorail Systems",333923,"Overhead Traveling Crane, Hoist, and Monorail System  Manufacturing (pt)"
3537,,"Industrial Trucks, Tractors, Trailers, and Stackers",,
3537,pt,".   Industrial Trucks, Tractors, Trailers, and Stackers (Except Metal Pallets and Air Cargo Containers)",333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
3537,pt,.   Metal Pallets,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing (pt)
3537,pt,.   Metal Air Cargo Containers,332439,Other Metal Container Manufacturing (pt)
3541,,"Machine Tools,  Metal Cutting Type",333512,Machine Tool (Metal Cutting Types) Manufacturing
3542,,"Machine Tools, Metal Forming Type",333513,Machine Tool (Metal Forming Types) Manufacturing
3543,,Industrial Patterns,332997,Industrial Pattern Manufacturing
3544,,"Special Dies and Tools, Die Sets, Jigs and Fixtures, and Industrial Molds",,
3544,pt,.   Except Industrial Molds,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
3544,pt,.   Industrial  Molds,333511,Industrial Mold Manufacturing
3545,,"Cutting Tools, Machine Tool Accessories, and Machinists' Precision Measuring Devices",,
3545,pt,".   Cutting Tools, Machine Tool Accessories, and Machinists' Precision Measuring Devices (Except Precision Measuring Devices)",333515,Cutting Tool and  Machine Tool Accessory Manufacturing
3545,pt,.    Precision Measuring Devices,332212,Hand and Edge Tool Manufacturing (pt)
3546,,Power-Driven Handtools,333991,Power-Driven Handtool Manufacturing
3547,,Rolling Mill Machinery and Equipment,333516,Rolling Mill Machinery and Equipment Manufacturing
3548,,Electric and Gas Welding and Soldering Equipment,,
3548,pt,.   Except Transformers for Arc-Welding,333992,Welding and Soldering Equipment Manufacturing
3548,pt,.   Transformers for Arc-Welding,335311,"Power, Distribution, and Specialty Transformer Manufacturing (pt)"
3549,,"Metalworking Machinery, NEC",333518,Other Metalworking Machinery Manufacturing
3552,,Textile Machinery,333292,Textile Machinery Manufacturing
3553,,Woodworking Machinery,33321,Sawmill and Woodworking Machinery Manufacturing
3554,,Paper Industries Machinery,333291,Paper Industry Machinery Manufacturing
3555,,Printing Trades Machinery and Equipment,333293,Printing Machinery and Equipment Manufacturing
3556,,Food Products Machinery,333294,Food Product Machinery Manufacturing
3559,,"Special  Industry Machinery, NEC",,
3559,pt,.   Rubber and Plastics Manufacturing Machinery,33322,Plastics and Rubber Industry Machinery Manufacturing
3559,pt,.   Nuclear Control Drive Mechanisms,33241,Power Boiler and Heat Exchanger Manufacturing (pt)
3559,pt,.   Automotive Maintenance Equipment,333319,Other Commercial and Service Industry Machinery Manufacturing (pt)
3559,pt,.   Semiconductor Machinery Manufacturing,333295,Semiconductor Manufacturing Machinery
3559,pt,.   Cotton Ginning Machinery,333111,Farm Machinery and Equipment Manufacturing (pt)
3559,pt,".   Except Rubber and Plastics Manufacturing Machinery,  Semiconductor Manufacturing Machinery, Automotive Maintenance Equipment,  Cotton Ginning Machinery, and Nuclear Control Device Mechanisms",333298,All Other Industrial Machinery Manufacturing (pt)
3561,,Pumps and Pumping Equipment,333911,Pump and Pumping Equipment Manufacturing (pt)
3562,,Ball and Roller Bearings,332991,Ball and Roller Bearing Manufacturing
3563,,Air and Gas Compressors,333912,Air and Gas Compressor Manufacturing
3564,,Industrial and Commercial Fans and Blowers and Air  Purification Equipment,,
3564,pt,.   Air Purification Equipment,333411,Air Purification Equipment Manufacturing
3564,pt,.   Fans and Blowers,333412,Industrial and Commercial Fan and Blower Manufacturing
3565,,Packaging Machinery,333993,Packaging Machinery Manufacturing
3566,,"Speed Changers, Industrial High-Speed Drives, and Gears",333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
3567,,Industrial Process Furnaces and Ovens,333994,Industrial Process Furnace and Oven Manufacturing
3568,,"Mechanical Power Transmission Equipment, NEC",333613,Mechanical Power Transmission Equipment Manufacturing
3569,,"General Industrial Machinery and Equipment, NEC",,
3569,pt,.   Electric Swimming Pool Heaters,333414,Heating Equipment (except Warm Air Furnace) Manufacturing (pt)
3569,pt,.   Textile Fire Hose,314999,All Other Miscellaneous Textile Product Mills (pt)
3569,pt,.   Except Electric Swimming Pool Heaters and Textile Fire Hoses,333999,All Other Miscellaneous General Purpose Machinery  Manufacturing  (pt)
3571,,Electronic Computers,334111,Electronic Computer Manufacturing
3572,,Computer Storage Devices,334112,Computer Storage Device Manufacturing
3575,,Computer Terminals,334113,Computer Terminal Manufacturing
3577,,"Computer Peripheral Equipment, NEC",,
3577,pt,.   Plotter Controllers,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing (pt)
3577,pt,.   Magnetic Tape Cleaner,334613,Magnetic Optical Recording Media Manufacturing (pt)
3577,pt,.   Except Plotter Controllers and Magnetic Tape Cleaners,334119,Other Computer Peripheral Equipment Manufacturing (pt)
3578,,"Calculating and Accounting Machines, Except Electronic Computers",,
3578,pt,.   Point of Sales Terminals and Fund Transfer Devices,334119,Other Computer Peripheral Equipment Manufacturing (pt)
3578,pt,.   Change Making Machines,333311,Automatic Vending Machine Manufacturing (pt)
3578,pt,".   Calculating and Accounting Machines, Except Point of Sales Terminals and Fund Transfer Devices, and Change Making Machines",333313,Office Machinery Manufacturing (pt)
3579,,"Office Machines, NEC",,
3579,pt,".   Pencil Sharpeners, Staplers, and Other Office Equipment",339942,Lead Pencil and Art Good Manufacturing (pt)
3579,pt,.   Time Clocks and Other Time Recording Devices,334518,"Watch, Clock, and Part Manufacturing (pt)"
3579,pt,.   Other Office Machines,333313,Office Machinery Manufacturing (pt)
3581,,Automatic Vending Machines,333311,Automatic Vending Machine Manufacturing
3582,,"Commercial Laundry, Drycleaning, and Pressing Machines",333312,"Commercial Laundry, Drycleaning, and Pressing Machine  Manufacturing"
3585,,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment,,
3585,pt,.   Motor Vehicle Air-Conditioning,336391,Motor Vehicle Air-Conditioning Manufacturing
3585,pt,.   Except Motor Vehicle Air-Conditioning,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
3586,,Measuring and Dispensing Pumps,333913,Measuring and Dispensing Pump Manufacturing
3589,,"Service Industry Machinery, NEC",333319,Other Commercial and Service Industry Machinery Manufacturing (pt)
3592,,"Carburetors, Pistons, Piston Rings, and Valves",336311,"Carburetor, Piston, Piston Ring, and Valve Manufacturing"
3593,,Fluid Power Cylinders and Actuators,333995,Fluid Power Cylinder and Actuator Manufacturing
3594,,Fluid Power Pumps and Motors,333996,Fluid Power Pump and Motor Manufacturing
3596,,"Scales and Balances, Except Laboratory",333997,Scale and Balance (except Laboratory) Manufacturing
3599,,"Industrial and Commercial Machinery and Equipment, NEC",,
3599,pt,".   Gasoline, Oil and Intake Filters for  Internal Combustion Engines, Except Motor Vehicle",336399,All Other Motor Vehicle Part Manufacturing (pt)
3599,pt,.   Flexible Metal Hose,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing (pt)
3599,pt,.   Carnival  Amusement Park Equipment,333319,Other Commercial and Service Industry Machinery Manufacturing (pt)
3599,pt,.   Machine Shops,33271,Machine Shops
3599,pt,.   Other Industrial and Commercial Machinery and Equipment,333999,All Other Miscellaneous General Purpose Machinery Manufacturing (pt)
36,,Electrical and electronic equipment,,
3612,,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing (pt)"
3613,,Switchgear and Switchboard Apparatus,335313,Switchgear and Switchboard Apparatus Manufacturing
3621,,Motors and Generators,335312,Motor and Generator Manufacturing (pt)
3624,,Carbon and Graphite Products,335991,Carbon and Graphite Product Manufacturing
3625,,Relays and Industrial Controls,335314,Relay and Industrial Control Manufacturing
3629,,"Electrical Industrial Apparatus, NEC",335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing (pt)
3631,,Household Cooking Equipment,335221,Household Cooking Appliance Manufacturing
3632,,Household Refrigerators and Home and Farm Freezers,335222,Household Refrigerator and Home Freezer Manufacturing
3633,,Household Laundry Equipment,335224,Household Laundry Equipment Manufacturing
3634,,Electric Housewares and Fans,,
3634,pt,".   Except Wall and Baseboard Heating Units for Permanent Installation, and Electronic Cigarette Lighters",335211,Electric Housewares and Household Fan Manufacturing
3634,pt,.   Electronic Cigarette Lighters,339999,All Other Miscellaneous Manufacturing (pt)
3634,pt,.   Wall and Baseboard Heating Units For Permanent Installation,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing (pt)
3635,,Household Vacuum Cleaners,335212,Household Vacuum Cleaner Manufacturing (pt)
3639,,"Household Appliances, NEC",,
3639,pt,.   Floor Waxing and Floor Polishing Machines,335212,Household Vacuum Cleaner Manufacturing (pt)
3639,pt,.   Household Sewing Machines,333298,All Other Industrial Machinery Manufacturing (pt)
3639,pt,.   Other Household Appliances,335228,Other Major Household Appliance Manufacturing
3641,,Electric Lamp Bulbs and Tubes,33511,Electric Lamp Bulb and Part Manufacturing
3643,,Current-Carrying Wiring Devices,335931,Current-Carrying Wiring Device Manufacturing
3644,,Noncurrent-Carrying Wiring Devices,,
3644,pt,".   Fish Wire, Electrical Wiring Tool",332212,Hand and Edge Tool Manufacturing (pt)
3644,pt,.   All Other Noncurrent-Carrying Wiring Devices,335932,Noncurrent-Carrying Wiring Device Manufacturing
3645,,Residential Electric Lighting Fixtures,335121,Residential Electric Lighting Fixture Manufacturing (pt)
3646,,"Commercial, Industrial, and Institutional Electric Lighting Fixtures",335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
3647,,Vehicular Lighting Equipment,336321,Vehicular Lighting Equipment Manufacturing
3648,,"Lighting Equipment, NEC",335129,Other Lighting Equipment Manufacturing (pt)
3651,,Household Audio and Video Equipment,33431,Audio and Video Equipment Manufacturing
3652,,Phonograph Records and Prerecorded Audio Tapes and Disks,,
3652,pt,.   Reproduction of Recording Media,334612,"Prerecorded Compact Disc (Except Software), Tape, and Record Reproducing (pt)"
3652,pt,".   Integrated Record Companies, Except Duplication Only",51222,Integrated Record Production/Distribution
3661,,Telephone and Telegraph Apparatus,,
3661,pt,".   Telephone and Telegraph Apparatus, Except Consumer External Modems",33421,Telephone Apparatus Manufacturing
3661,pt,.   Consumer External Modems,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing (pt)
3663,,Radio and Television Broadcasting and Communications Equipment,33422,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing  (pt)
3669,,"Communications Equipment, NEC",33429,Other Communications Equipment Manufacturing
3671,,Electron Tubes,334411,Electron Tube Manufacturing
3672,,Printed Circuit Boards,334412,Bare Printed Circuit Board Manufacturing
3674,,Semiconductors and Related Devices,334413,Semiconductor and Related Device Manufacturing
3675,,Electronic Capacitors,334414,Electronic Capacitor Manufacturing
3676,,Electronic Resistors,334415,Electronic Resistor Manufacturing
3677,,"Electronic Coils, Transformers, and Other Inductors",334416,"Electronic Coil, Transformer, and Other Inductor Manufacturing (pt)"
3678,,Electronic Connectors,334417,Electronic Connector Manufacturing
3679,,"Electronic Components, NEC",,
3679,pt,.   Antennas,33422,Radio and Television Broadcasting and Wireless Communications  Equipment Manufacturing (pt)
3679,pt,.   Radio Headphones,33431,Audio and Video Equipment Manufacturing (pt)
3679,pt,.   Printed Circuit/Electronics Assembly,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing (pt)
3679,pt,.   Other Electronic Components,334419,Other Electronic Component Manufacturing
3691,,Storage Batteries,335911,Storage Battery Manufacturing
3692,,"Primary Batteries, Dry and Wet",335912,Primary Battery Manufacturing
3694,,Electrical Equipment for Internal Combustion Engines,336322,Other Motor Vehicle Electrical and Electronic Equipment Manufacturing (pt)
3695,,Magnetic and Optical Recording Media,334613,Magnetic and Optical Recording Media Manufacturing
3699,,"Electrical Machinery, Equipment, and Supplies, NEC",,
3699,pt,.   Electronic Teaching Machines and Flight Simulators,333319,Other Commercial and Service Industry Machinery Manufacturing (pt)
3699,pt,.   Outboard Electric Motors,333618,Other Engine Equipment Manufacturing (pt)
3699,pt,.   Laser Welding and Soldering Equipment,333992,Welding and Soldering Equipment Manufacturing (pt)
3699,pt,.   Other Lasers,,Classify According to Function
3699,pt,".   Christmas Tree Lighting Sets, Electric Insect Lamps, Electric Fireplace Logs, and Trouble Lights",335129,Other Lighting Equipment Manufacturing (pt)
3699,pt,".   Other Electrical Machinery, Equipment, and Supplies",335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing (pt)
37,,Transportation equipment,,
3711,,Motor Vehicles and Passenger Car Bodies,,
3711,pt,.   Automobiles,336111,Automobile Manufacturing
3711,pt,.   Light Truck and Utility Vehicles,336112,Light Truck and Utility Vehicle Manufacturing
3711,pt,.   Heavy Duty Trucks,33612,Heavy Duty Truck Manufacturing
3711,pt,.   Kit Car and Other Passenger Car Bodies,336211,Motor Vehicle Body Manufacturing (pt)
3711,pt,.   Military Armored Vehicles,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing (pt)"
3713,,Truck and Bus Bodies,336211,Motor Vehicle Body Manufacturing (pt)
3714,,Motor Vehicle Parts and Accessories,,
3714,pt,.   Dump-Truck Lifting Mechanisms and Fifth Wheels,336211,Motor Vehicle Body Manufacturing (pt)
3714,pt,.   Gasoline Engines Including Rebuilt and Engine Parts Including Rebuilt for Motor Vehicles,336312,Gasoline Engine and Engine Parts Manufacturing
3714,pt,".   Wiring Harness Sets, Other than Ignition; Block Heaters and Battery Heaters; Instrument Board Assemblies; Permanent Defroster; Windshield Washer-Wiper Mechanisms; Cruise Control Mechanisms; and Other Electrical Equipment for Internal Combustion Engin",336322,Other Motor Vehicle Electrical and Electronic Equipment Manufacturing (pt)
3714,pt,.   Steering and Suspension Parts,33633,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
3714,pt,".   Brake and Brake Systems, Including Assemblies",33634,Motor Vehicle Brake System Manufacturing (pt)
3714,pt,".   Transmissions and Power Train Parts, Including Rebuilding",33635,Motor Vehicle Transmission and Power Train Parts Manufacturing
