Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,gfe_gfp_value,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2006,NA,Defense,Navy,Basic Research (6.1),Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,Other CB,U,Small,TRUE,N,N,X,2006,FALSE,1900,NA,>2-7 Months,1,265000,NA,1,2006-01-01,2006,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Navy,Small,385514.8371713348,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2018,NA,Defense,Air Force,PAMS,Aircraft,FALSE,NA,DCA,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,N,N,X,2019,FALSE,2019,>7-12 Months,>7-12 Months,3,666900,NA,3,2018-01-01,2018,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Aircraft,Air Force,Small,796404.6465683957,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2011,NA,Defense,Army,Advanced Development,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,Other CB,U,Large,TRUE,N,N,NA,2012,FALSE,2012,>1-2 Years,>1-2 Years,1,40000,NA,1,2011-01-01,2011,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Army,Large,53375.601258467505,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2023,2,Defense,Army,Ground Vehicles,Land Vehicles,NA,NA,DCA,Limited Competition with multiple offers,5-9 Offers,FFP,J,Medium <1B,FALSE,Y,N,X,2023,FALSE,2023,<=2 Months,<=2 Months,1,598617.14,NA,1,2023-01-01,2023.2,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Land Vehicles,Army,Medium,598617.14,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2014,NA,Defense,Navy,ERS,"Electronics, Comms, & Sensors",NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Unlabeled,TRUE,Y,N,NA,2014,NA,2014,<=2 Months,<=2 Months,2,1842.04,NA,2,2014-01-01,2014,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Unlabeled,2328.6849917596114,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2012,NA,Defense,Navy,Clothing & Subsistence,Other Products,NA,NA,DCA,No Competition (Only One Source Exception),No competition,FFP,J,Large,TRUE,Y,N,X,2006,FALSE,2002,<=2 Months,>4 years,1,-165084.0938,NA,1,2012-01-01,2012,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,Navy,Large,-216360.48247678662,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2023,1,Defense,DLA,Electronics & Communications,Aircraft,NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Large: Big 5,TRUE,N,N,NA,2023,NA,2023,>7-12 Months,>7-12 Months,2,31236.24,NA,2,2023-01-01,2023.1,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Big Five,31236.24,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2012,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,N,N,NA,2012,NA,2012,>2-7 Months,>2-7 Months,46,7379271.4204,NA,46,2012-01-01,2012,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,9671329.854341827,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2005,NA,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,FSS,Limited Competition with multiple offers (Overrode blank Fair Opportunity),100+ Offers,NA,NO,Medium >1B,TRUE,Y,N,X,2004,FALSE,1900,NA,>1-2 Years,1,-2673,NA,1,2005-01-01,2005,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Not Reported,NA,NA,Crosscutting,Crosscutting,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Army,Medium,-4014.9269124687535,NA,>1 year,NA,NA,Crosscutting,NA
2012,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,DCA,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,Y,N,X,2014,FALSE,2017,>4 years,>1-2 Years,1,0,NA,1,2012-01-01,2012,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2010,NA,Defense,Army,Other,Facilities and Construction,NA,NA,FSS,Limited Competition with multiple offers,Two Offers,FFP,J,Medium <1B,FALSE,N,N,X,2011,FALSE,2011,>2-7 Months,>2-7 Months,19,2308101.2582,NA,19,2010-01-01,2010,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,Army,Medium,3141725.2507270905,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2019,NA,Defense,Army,Advanced Development,Space Systems,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,NA,1,Medium >1B (Small Subsidiary),TRUE,N,N,X,NA,TRUE,NA,NA,NA,1,0,NA,NA,2019-01-01,2019,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Order Dependent (IDV only),NA,NA,Crosscutting,Crosscutting,No Government Furnished,R&D,R&D,R&D,Space Systems,Army,Medium,0,NA,NA,NA,NA,Crosscutting,NA
2022,3,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,FSS,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,Y,N,NA,2023,FALSE,2023,>1-2 Years,>1-2 Years,1,17833.5,NA,1,2022-01-01,2022.3,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Small,18649.32189691472,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2007,NA,Defense,Army,PAMS,Other Services,NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,Y,N,X,2008,FALSE,2008,>2-4 Years,>2-4 Years,1,0,NA,1,2007-01-01,2007,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other Services,Army,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2007,NA,Defense,Other DoD,PAMS,Other R&D and Knowledge Based,NA,NA,NA,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,FFP,J,Small,FALSE,Y,Y,X,NA,FALSE,NA,NA,NA,2,0,NA,NA,2007-01-01,2007,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Other DoD,Small,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2021,NA,Defense,DLA,Aircraft,Aircraft,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Medium <1B,TRUE,Y,N,NA,2021,NA,2021,<=2 Months,<=2 Months,2,65008.1,NA,2,2021-01-01,2021,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Medium,72736.37733261561,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2011,NA,Defense,Navy,FRS,Facilities and Construction,NA,NA,PO,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Medium <1B,FALSE,N,N,NA,2011,NA,2011,>2-7 Months,>7-12 Months,1,3228.4399,NA,1,2011-01-01,2011,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Medium,4307.998019733168,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
1991,NA,Defense,Navy,Other,"Electronics, Comms, & Sensors",FALSE,NA,NA,No Competition (Other Exception),No competition,NA,J,Medium <1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-46000,NA,NA,1991-01-01,1991,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Crosscutting,NA,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Medium,-91857.02600872984,FFP,NA,FFP,FFP,Crosscutting,NA
2013,NA,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,Incentive,V,Large,TRUE,N,N,Y,2013,FALSE,2012,>7-12 Months,>1-2 Years,1,46673.6,NA,1,2013-01-01,2013,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost Plus Incentive,CB-Incentive,Cost-Based,Incentive,Incentive,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Large,60080.63218445201,Cost-Based,>1 year,Cost-Based,Cost-Based,Incentive,<=1 year
2014,NA,Defense,DISA,ICT,"Electronics, Comms, & Sensors",NA,NA,PO,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,Y,N,NA,2014,NA,2014,>4 years,>4 years,2,0,NA,2,2014-01-01,2014,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2006,NA,Defense,DLA,Clothing & Subsistence,Other Products,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Medium >1B,TRUE,N,N,X,2008,FALSE,1900,NA,>1-2 Years,2,243057,NA,2,2006-01-01,2006,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,DLA,Medium,353592.7538805778,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2009,NA,Defense,Other DoD,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,PO,Full Competition (Multiple Offers),Two Offers,FFP,J,Medium <1B,FALSE,Y,Y,NA,2010,NA,2010,<=2 Months,<=2 Months,1,35503.23,NA,1,2009-01-01,2009,Full Year,Other DoD,Other DoD,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Other DoD,Medium,48744.565106472444,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2010,NA,Defense,Army,Construction,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,FFP,J,Medium <1B,TRUE,N,N,Y,2012,FALSE,2013,>2-4 Years,>1-2 Years,1,796134,NA,1,2010-01-01,2010,Full Year,Army,Army,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,1083676.152368193,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2013,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,DCA,Competition with single offer,One Offer,Other CB,S,Large,TRUE,N,Y,Y,2013,FALSE,1900,NA,>4 years,15,2603400.21,NA,15,2013-01-01,2013,Full Year,Air Force,Air Force,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Definitive,Definitive,Award,Cost No Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,"Transaction uses
Government Furnished
Equipment or Property",PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Large,3351229.184076976,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,NA
2023,3,Defense,Army,Other,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Medium <1B,FALSE,N,N,NA,2023,TRUE,2023,>7-12 Months,>1-2 Years,1,0,NA,1,2023-01-01,2023.3,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,Army,Medium,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2022,4,Defense,Navy,ERS,Facilities and Construction,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Medium <1B,FALSE,Y,Y,NA,2022,NA,2022,>2-7 Months,>2-7 Months,1,17200,NA,1,2022-01-01,2022.4,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Medium,17986.841429160464,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2009,NA,Defense,Army,Other,Land Vehicles,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Small,FALSE,N,N,N,2010,FALSE,2010,>7-12 Months,>7-12 Months,3,401192,NA,3,2009-01-01,2009,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Land Vehicles,Army,Small,550821.1383639148,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2017,NA,Defense,DISA,ICT,"Electronics, Comms, & Sensors",NA,NA,PO,No Competition (Other Exception),No competition,UCA,J,Large: Big 5,FALSE,Y,N,NA,2017,NA,2017,<=2 Months,<=2 Months,6,11450,NA,6,2017-01-01,2017,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Crosscutting,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Big Five,13977.015002684984,UCA,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2008,NA,Defense,Air Force,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,Combination/Other,2,Medium <1B,TRUE,Y,N,X,2007,FALSE,2007,>2-7 Months,>2-7 Months,1,-157730,NA,1,2008-01-01,2008,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Combination (two or more),Combination or Other,All Other,Crosscutting,Crosscutting,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Medium,-218771.74289520906,All Other,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2017,NA,Defense,Air Force,ICT,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,NA,N,N,NA,2018,FALSE,2019,>4 years,>2-4 Years,2,864587,NA,2,2017-01-01,2017,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Air Force,Small,1055401.3511027426,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2014,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,FSS,Competition with single offer,One Offer,FFP,J,Small,FALSE,Y,N,NA,2015,FALSE,2015,>7-12 Months,>7-12 Months,1,23974.45,NA,1,2014-01-01,2014,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,30308.213665659387,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2007,NA,Defense,Army,Clothing & Subsistence,Other Products,NA,NA,PO,Full Competition (Multiple Offers),Two Offers,FFP,J,To Be Labeled,FALSE,Y,N,X,2007,FALSE,2007,<=2 Months,<=2 Months,1,22123,NA,1,2007-01-01,2007,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,Army,To Be Labeled,31321.672589265592,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2023,4,Defense,DLA,Other,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Medium <1B,TRUE,Y,N,X,2024,FALSE,2024,>2-7 Months,>2-7 Months,3,836333.1775,NA,3,2023-01-01,2023.4,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,DLA,Medium,836333.1775,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2005,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,FSS,Competition with single offer (Overrode blank Fair Opportunity),One Offer,NA,,Medium <1B,FALSE,N,N,X,2005,FALSE,NA,NA,<=2 Months,1,7826,NA,1,2005-01-01,2005,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,FSS or GWAC,Task Order,NA,NA,NA,Crosscutting,Crosscutting,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,11754.888895241476,NA,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2011,NA,Defense,Navy,Aircraft,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Large: Big 5 JV,TRUE,N,N,X,2013,TRUE,2013,>1-2 Years,>1-2 Years,2,595054.8984,NA,2,2011-01-01,2011,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Big Five,794035.3245974072,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2021,NA,Defense,DLA,Aircraft,Aircraft,NA,NA,PO,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,N,N,NA,2022,NA,2016,>2-4 Years,>4 years,1,0,NA,1,2021-01-01,2021,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
1994,NA,Defense,DLA,Engines & Power Plants,Aircraft,NA,NA,NA,Limited Competition with multiple offers,Two Offers,NA,J,Small,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4502897,NA,39,1994-01-01,1994,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Crosscutting,NA,Products,Products (All),Products (All),Aircraft,DLA,Small,8388045.735748787,FFP,NA,FFP,FFP,Crosscutting,NA
2023,1,Defense,DLA,Other,Aircraft,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,Other FP,K,Large,TRUE,Y,N,NA,2023,FALSE,2023,>7-12 Months,>7-12 Months,10,81444.8595,NA,10,2023-01-01,2023.1,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Fixed Price with Economic Price Adjustment,FP-Econ. Price Adj.,FP-Econ. Price Adj.,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Large,81444.8595,FP-Econ. Price Adj.,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2024,3,Defense,DLA,Aircraft,Aircraft,NA,NA,BOA,Competition with single offer,One Offer,FFP,J,Large: Big 5 JV,TRUE,N,N,Y,2025,NA,2025,>7-12 Months,>7-12 Months,1,5558.6,NA,1,2024-01-01,2024.3,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Big Five,5414.013422506698,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,4,Defense,DLA,Other,Facilities and Construction,NA,NA,BOA,No Competition (Other Exception),No competition,FFP,J,Large,TRUE,N,N,NA,2023,NA,2023,>2-7 Months,>2-7 Months,1,4000,NA,1,2022-01-01,2022.4,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,DLA,Large,4182.986378874527,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2013,NA,Defense,Navy,PAMS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,TRUE,N,N,NA,2015,FALSE,2013,>7-12 Months,>2-4 Years,2,11824,NA,2,2013-01-01,2013,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Small,15220.454281413062,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
