Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2013,NA,Defense,Other DoD,PAMS,Facilities and Construction,FALSE,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,25-99 Offers,T&M/LH/FPLOE,Y,Large,TRUE,N,Y,X,2009,FALSE,2009,>1-2 Years,>1-2 Years,1,-116.34,NA,1,2013-01-01,2013,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Time and Materials,T&M/LH/FPLOE,All Other,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Other DoD,Large,-149.7587661620091,All Other,>1 year,All Other,All Other,Cost or Effort-Based,>1 year
1995,NA,Defense,Army,PAMS,Ordnance and Missiles,FALSE,NA,NA,No Competition (Unlabeled Exception),No competition,NA,R,Large: Big 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1117231,NA,2,1995-01-01,1995,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),NA,NA,NA,Cost Plus Award Fee,Other CB,Cost-Based,Cost or Effort-Based,Crosscutting,PAMS,Services (Non-R&D),Services (Non-R&D),Ordnance and Missiles,Army,Big Five,2037961.5701421946,Cost-Based,NA,Cost-Based,Cost-Based,Crosscutting,NA
2004,NA,Defense,Navy,FRS,Facilities and Construction,NA,NA,DCA,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Medium <1B,TRUE,N,N,X,2004,FALSE,1900,NA,>1-2 Years,14,7233792,NA,14,2004-01-01,2004,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Medium,11196005.952558517,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2015,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Small,TRUE,N,N,NA,2015,FALSE,2015,>1-2 Years,>1-2 Years,1,0,NA,1,2015-01-01,2015,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2010,NA,Defense,DLA,Fuels,Other Products,NA,NA,MULTIPLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Medium <1B,FALSE,Y,N,NA,2011,TRUE,2011,>7-12 Months,>2-7 Months,3,2373487.0625,NA,3,2010-01-01,2010,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Fuels,Products (All),Products (All),Other Products,DLA,Medium,3230726.645998896,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2023,4,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,PO,Competition with single offer,One Offer,FFP,J,Large,TRUE,Y,N,NA,2024,NA,2024,>2-7 Months,>2-7 Months,5,303874.75,NA,5,2023-01-01,2023.4,Full Year,Air Force,Air Force,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Air Force,Large,303874.75,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2007,NA,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,PO,Competition with single offer,One Offer,FFP,J,Medium <1B,FALSE,Y,N,X,2007,FALSE,2007,>2-7 Months,>2-7 Months,9,33355.66,NA,9,2007-01-01,2007,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Medium,47224.83666405382,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2002,NA,Defense,Air Force,PAMS,"Electronics, Comms, & Sensors",FALSE,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,Other CB,R,Large,TRUE,N,N,X,2008,FALSE,NA,NA,>4 years,1,250000,NA,1,2002-01-01,2002,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost Plus Award Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Air Force,Large,403991.26303285506,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,NA
1993,NA,Defense,Army,Applied Research (6.2),Land Vehicles,NA,NA,NA,Limited Competition with multiple offers,Two Offers,NA,S,Unlabeled,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,943996,NA,NA,1993-01-01,1993,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Cost No Fee,Other CB,Cost-Based,Cost or Effort-Based,Crosscutting,R&D,R&D,R&D,Land Vehicles,Army,Unlabeled,1796874.9680275295,Cost-Based,NA,Cost-Based,Cost-Based,Crosscutting,NA
2008,NA,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,FSS,No Competition (Follow on to competed action),No competition,FFP,J,Small,FALSE,Y,N,X,2009,FALSE,2009,>1-2 Years,>1-2 Years,10,166042.2,NA,10,2008-01-01,2008,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,Follow on to Competed Action,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Army,Small,230300.77656853411,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2008,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,DCA,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,N,N,X,2008,FALSE,2008,>7-12 Months,>1-2 Years,5,136747,NA,5,2008-01-01,2008,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,189668.29091289642,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2011,NA,Defense,DLA,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Small,TRUE,N,N,NA,2012,FALSE,2012,<=2 Months,<=2 Months,1,48924,NA,1,2011-01-01,2011,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Small,65283.69789923161,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2013,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Large,TRUE,N,N,NA,2014,FALSE,2014,>2-4 Years,>2-4 Years,1,-20518.74,NA,1,2013-01-01,2013,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Large,-26412.765906816767,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2002,NA,Defense,Navy,Other,Facilities and Construction,NA,NA,NA,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Medium <1B,FALSE,Y,N,X,NA,FALSE,NA,NA,NA,8,0,NA,NA,2002-01-01,2002,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,Navy,Medium,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2015,NA,Defense,DLA,Other,Aircraft,NA,NA,BOA,Competition with single offer,One Offer,FFP,J,Large: Big 5,TRUE,N,N,NA,2016,NA,2016,>7-12 Months,>7-12 Months,12,72416.27,NA,12,2015-01-01,2015,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,DLA,Big Five,90609.41040132445,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2014,NA,Defense,Army,FRS,Facilities and Construction,FALSE,NA,MULTIPLE AWARD IDC,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,FFP,J,Small,TRUE,N,N,NA,2014,FALSE,2014,>2-4 Years,>2-4 Years,1,-3000,NA,1,2014-01-01,2014,Full Year,Army,Army,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,-3792.5642088547665,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2006,NA,Defense,Army,PAMS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Medium <1B,TRUE,N,N,X,2006,FALSE,2009,>2-4 Years,>2-7 Months,1,99517,NA,1,2006-01-01,2006,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,144774.64170105557,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2024,2,Defense,Navy,Engines & Power Plants,Land Vehicles,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Medium <1B,TRUE,Y,N,NA,2024,NA,2024,>7-12 Months,>7-12 Months,1,0,NA,1,2024-01-01,2024.2,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Land Vehicles,Navy,Medium,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2006,NA,Defense,Navy,ERS,Land Vehicles,NA,NA,NA,Full Competition (Multiple Offers),Two Offers,FFP,J,Unlabeled,TRUE,Y,N,X,NA,FALSE,NA,NA,NA,3,0,NA,NA,2006-01-01,2006,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Land Vehicles,Navy,Unlabeled,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2011,NA,Defense,DISA,ICT,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Small,TRUE,N,N,Y,2011,FALSE,2011,>7-12 Months,>7-12 Months,2,0,NA,2,2011-01-01,2011,Full Year,Other DoD,Other DoD,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Small,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,1,Defense,Navy,Engines & Power Plants,"Electronics, Comms, & Sensors",NA,NA,PO,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,Y,N,NA,2022,NA,2021,<=2 Months,>2-7 Months,1,0,NA,1,2022-01-01,2022.1,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Small,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2011,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Large,FALSE,Y,N,NA,2012,NA,2015,>4 years,>2-4 Years,2,2734.6001,NA,2,2011-01-01,2011,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Large,3649.0231134741343,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2007,NA,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Small,NA,Y,N,X,2007,FALSE,2007,>7-12 Months,>7-12 Months,24,5955027,NA,24,2007-01-01,2007,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Small,8431108.165901393,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2015,NA,Defense,Navy,Basic Research (6.1),Other R&D and Knowledge Based,NA,NA,DCA,Limited Competition with multiple offers,25-99 Offers,Other CB,U,Small,FALSE,N,N,X,2017,FALSE,2019,>2-4 Years,>1-2 Years,1,200000,NA,1,2015-01-01,2015,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Other R&D and Knowledge Based,Navy,Small,250246.00245586922,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
1999,NA,Defense,Navy,Ships,"Electronics, Comms, & Sensors",NA,NA,NA,Limited Competition with multiple offers,Two Offers,NA,V,Medium <1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1397000,NA,2,1999-01-01,1999,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Cost Plus Incentive,CB-Incentive,Cost-Based,Incentive,Crosscutting,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Medium,2397466.4686426865,Cost-Based,NA,Cost-Based,Cost-Based,Crosscutting,NA
2007,NA,Defense,Air Force,ERS,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,T&M/LH/FPLOE,Y,Medium >1B,TRUE,Y,Y,X,2008,FALSE,2008,>1-2 Years,>1-2 Years,1,60672,NA,1,2007-01-01,2007,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Time and Materials,T&M/LH/FPLOE,All Other,Cost or Effort-Based,Cost or Effort-Based,ERS,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Air Force,Medium,85899.22340260913,All Other,>1 year,All Other,All Other,Cost or Effort-Based,>1 year
2007,NA,Defense,Navy,Ships,Ships & Submarines,NA,NA,DCA,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Medium <1B,TRUE,Y,N,X,2007,FALSE,2007,<=2 Months,>2-7 Months,1,281799,NA,1,2007-01-01,2007,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ships & Submarines,Navy,Medium,398970.1222249448,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,4,Defense,Air Force,ERS,Aircraft,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,Other CB,U,Small,TRUE,N,Y,NA,2021,FALSE,2019,>2-4 Years,>4 years,1,134563.5,NA,1,2022-01-01,2022.4,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,ERS,Services (Non-R&D),Services (Non-R&D),Aircraft,Air Force,Small,140719.3218984206,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2023,3,Defense,Army,PAMS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Unlabeled,NA,N,N,X,2023,FALSE,2023,>1-2 Years,>1-2 Years,1,0,NA,1,2023-01-01,2023.3,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Unlabeled,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2011,NA,Defense,DLA,Fuels,Other Products,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),10-24 Offers,Other FP,K,Medium <1B,FALSE,Y,N,NA,2011,FALSE,2011,>1-2 Years,>1-2 Years,3,9254588.0498,NA,3,2011-01-01,2011,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Fixed Price with Economic Price Adjustment,FP-Econ. Price Adj.,FP-Econ. Price Adj.,Fixed-Price,Fixed-Price,Fuels,Products (All),Products (All),Other Products,DLA,Medium,12349230.03893758,FP-Econ. Price Adj.,>1 year,FP-Econ. Price Adj.,FP-Econ. Price Adj.,Fixed-Price,>1 year
2012,NA,Defense,Navy,PAMS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Medium <1B,FALSE,N,N,NA,2012,NA,2012,>2-7 Months,>2-7 Months,1,62199.9297,NA,1,2012-01-01,2012,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Medium,81519.70604883443,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2015,NA,Defense,Navy,ERS,Facilities and Construction,NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,Y,N,NA,2015,NA,2014,>1-2 Years,>2-4 Years,1,2480,NA,1,2015-01-01,2015,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Small,3103.050430452778,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2000,NA,Defense,Army,Ground Vehicles,Aircraft,FALSE,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Medium <1B,TRUE,Y,N,X,2002,FALSE,1900,NA,>1-2 Years,1,666368,NA,1,2000-01-01,2000,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,Army,Medium,1120280.1504649513,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2022,1,Defense,DLA,Clothing & Subsistence,Other Products,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),100+ Offers,Other FP,K,Medium <1B,NA,N,N,NA,2022,FALSE,2022,<=2 Months,<=2 Months,276,2144090,NA,276,2022-01-01,2022.1,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Fixed Price with Economic Price Adjustment,FP-Econ. Price Adj.,FP-Econ. Price Adj.,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,DLA,Medium,2242174.8162702713,FP-Econ. Price Adj.,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2018,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,BOA,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Medium <1B,TRUE,N,N,NA,2017,NA,2022,>4 years,>2-7 Months,2,66417.6094,NA,2,2018-01-01,2018,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,79315.17879760796,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2022,4,Defense,DLA,Other,Other Products,NA,NA,DCA,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,N,N,X,2023,FALSE,2023,>2-7 Months,>2-7 Months,3,78306,NA,3,2022-01-01,2022.4,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,DLA,Small,81888.23284603718,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2015,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,Other CB,U,Small,TRUE,N,Y,NA,2016,FALSE,2016,>2-4 Years,>2-4 Years,20,2161899.98,NA,20,2015-01-01,2015,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Small,2705034.138522118,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2009,NA,Defense,Navy,Ships,Ships & Submarines,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Small,TRUE,N,N,Y,2010,FALSE,2010,>2-7 Months,>2-7 Months,2,122282,NA,2,2009-01-01,2009,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ships & Submarines,Navy,Small,167888.4684675074,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,1,Defense,Navy,ERS,Facilities and Construction,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,Y,N,NA,2022,NA,2022,>4 years,>4 years,2,18881,-5705.2798,2,2022-01-01,2022.1,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Small,19744.741454882485,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
1997,NA,Defense,Air Force,Basic Research (6.1),"Electronics, Comms, & Sensors",NA,NA,NA,Competition with single offer,One Offer,NA,R,Small,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1080924,NA,7,1997-01-01,1997,Full Year,Air Force,Air Force,1 Offer,Not Effective Comp.,1 Offer,1 Offer,NA,NA,NA,Cost Plus Award Fee,Other CB,Cost-Based,Cost or Effort-Based,Crosscutting,R&D,R&D,R&D,"Electronics, Comms, & Sensors",Air Force,Small,1901547.6686912535,Cost-Based,NA,Cost-Based,Cost-Based,Crosscutting,NA
2012,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,Other CB,S,Large: Big 5,TRUE,N,N,NA,2012,FALSE,2012,>2-7 Months,>2-7 Months,1,5874,NA,1,2012-01-01,2012,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Cost No Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Big Five,7698.509558457803,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2009,NA,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,GWAC,No Competition (Only One Source Exception),No competition,NA,NO,Small,TRUE,N,N,X,2010,FALSE,2009,>1-2 Years,>2-4 Years,1,0,NA,1,2009-01-01,2009,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Other IDV,FSS or GWAC,Task Order,Not Reported,NA,NA,Crosscutting,Crosscutting,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Small,0,NA,>1 year,NA,NA,Crosscutting,>1 year
