Description_of_Requirement,second,descrip_row_number
"THIS IS A UNILATERAL MODIFICATION TO CLOSE THE REFERENCED OTHER TRANSACTION AGREEMENT (OTA). THIS WAS AN $1,139,359.51 FY05 OTHER TRANSACTION AGREEMENT BETWEEN COGNISCENT, INC. AND THE SCIENCE&TECHNOLOGY (S&T) DIRECTORATE IN SUPPORT OF A HAND-HELD ARTIFICIAL NOSE CHEMICAL AGENT DETECTION SYSTEM FOR FIRST RESPONDERS.  THE PERIOD OF PERFORMANCE EXPIRED DECEMBER 31, 2007. SPOKE TO DR. JOEL WHITE, BUSINESS/FINANCIAL POINT OF CONTACT FOR COGNISCENT INC. ON OCTOBER 15, 2012 AND HE INDICATED THE COMPANY IS NO LONGER IN BUSINESS. THE S&T OTA OFFICER VERIFIED THAT ALL SERVICES WERE DELIVERED, ACCEPTED, INVOICED, PAID; AND THE OTA COULD BE CLOSED.  THE FFMS FINANCIAL ACCOUNT SHOWS PAYMENTS OF $1,139,359.51 AND NO RESIDUAL FUNDS BALANCE.  THIS MODIFICATION CLOSES THE OTHER TRANSACTION AGREEMENT.  THE ASSOCIATED FINANCIAL ACCOUNT IN FFMS IS CLOSED. 

THIS OTHER TRANSACTION AGREEMENT IS HEREBY CLOSED.",Second,2237
"THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE FUNDING IN THE AMOUNT OF $92,346.00 FOR A PROJECT AWARDED UNDER RPP 12-1.  THIS MODIFICATION FULLY FUNDS PMPI-022 WITH GT AERONAUTICS IN THE AMOUNT OF $92.346.00",Second,2238
"CLOSEOUT MODIFICATION
THIS IS A UNILATERAL MODIFICATION TO CLOSEOUT THE REFERENCED OTHER TRANSACTION AGREEMENT (OTA).

THIS WAS A $15,368,138.00 FY04 OTA BETWEEN SCIENCE APPLICATIONS INTERNATIONAL CORPORATION (SAIC) AND THE DEPARTMENT OF HOMELAND SECURITY, SCIENCE&TECHNOLOGY DIRECTORATE FOR THE DETECTION SYSTEMS FOR BIOLOGICAL AND CHEMICAL COUNTERMEASURES (DSBCC).  THE PERIOD OF PERFORMANCE EXPIRED ON APRIL 1, 2007.  SAIC PROVIDED A CONTRACTOR'S RELEASE (DHS FORM 700-3) DATED DECEMBER 11, 2012 IS ATTACHED HERETO AND INCORPORATED BY REFERENCE VERIFYING FINAL BILLING OF $15,368,138.00.  THE S&T PROGRAM MANAGER IS NO LONGER WITH DHS, THEREFORE NO LESSONS LEARNED WERE COLLECTED.  THE FFMS FINANCIAL ACCOUNT SHOWS PAYMENTS OF $12,068,138.00 AND NO RESIDUAL FUNDS BALANCE.

NOTE:  PHASE I-CONCEPT DEVELOPMENT AND SYSTEM TRADES IN THE AMOUNT OF $3,300,000.00 WERE FUNDED BY U.S. ARMY MEDICAL RESEARCH AND ACQUISITION ACTIVITY (USAMRAA) ON BEHALF OF THE HOMELAND SECURITY ADVANCED RESEARCH PROJECTS AGENCY (HSARPA).  DUE THE FUNDING BEING PROVIDED BY USAMRAA THERE IS NO RECORD OF THE PAYMENT HISTORY IN THE DHS FINANCIAL ACCOUNT.  

THEREFORE, THIS MODIFICATION CLOSES THE OTA IN PRISM ONLY.  THE ASSOCIATED FINANCIAL ACCOUNT IN FFMS IS CLOSED.

THIS OTA IS HEREBY CLOSED.",Second,2239
"THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE FUNDING IN THE AMOUNT OF $242,500.00 FOR A PROJECT AWARDED UNDER RPP 12-1.  THIS MODIFICATION FULY FUNDS PMPI-023 WITH GMRE IN THE AMOUNT OF $242,500.00.  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",Second,2240
PROJECT FUNDING FOR PHASE I EFFORT FOR RESEARCH AREA 2.1.3.,Second,2241
PROJECT FUNDING FOR PHASE II EFFORT UNDER RESEARCH AREA 2.2.3 OF RPP AFI 11-1.,Second,2242
MODIFICATION TO ALLOW A BONA FIDE CHANGE DUE TO A CHANGE IN LOCATION OF ONE PROTOTYPE TRAING EVENT.,Second,2243
PROJECT FUNDING FOR RESEARCH AREA 2.1.4 TO RAPTOR UNDER RPP 11-2 AND FOR PROJECT MODIFICATION 02 OF RESEARCH AREA 2.1.1 TO WISENGINEERING UNDER RPP 11-1.,Second,2244
LEASE OF SPACE AT ALB,Second,2245
"MICHIGAN STATE UNIVERSITY WILL PERFORM ADDITIONAL RESEARCH UNDER THIS COOPERATIVE AGREEMENT TO DEVELOP COMPOSITE MATERIALS WHICH CAN BE USED ON MILITARY VEHICLES TO PROVIDE INCREASED PROTECTION FOR THESE VEHICLES AND THEIR OCCUPANTS FROM BOMB, BURST AND FIRE.  THE FOCUS OF THIS ADD-ON EFFORT ON MODIFICATION P00006 WILL BE TO APPLY THE COMPOSITE MATERIALS DEVELOPED UNDER THIS AGREEMENT TO A HMMW REPLACEMENT COMPONENT PART.",Second,2246
"THE PURPOSE OF THIS MODIFICATION IS OBLIGATE FUNDING IN THE AMOUNT OF $1,155,797.17 FOR PROJECTS AWARDED UNDER RPP 12-1.  THIS MODIFICATION INCREMENTALLY FUNDS PMPI-020 WITH DHPC IN THE AMOUNT OF $525,130.17 OUT OF A PROJECT AWARD AMOUNT OF $770238.99.  PMPI-021 IS A FULLY FUNDED WITH TECHNOVATIVE APPLICATIONS IN THE AMOUNT OF $630,667.00. ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",Second,2247
"THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION YEAR 3 (AGREEMENT YEAR 6); AUTHORIZE PERFORMANCE TO CONTINUE THROUGH 30 JUNE 2013; UPDATE ARTICLE II, TERM AND TERMINATION; REALLOCATE FUNDS FROM RESEARCH TO PROGRAM ADMINISTRATION AND MANAGEMENT TO SUPPORT THE INITIATIVE IN AGREEMENT YEAR 6; AND UPDATE ATTACHMENT III, TOTAL PROGRAM FUNDING SUMMARY.  ACCORDINGLY, THE FOLLOWING CHANGES ARE MADE TO THE OTHER TRANSACTION AGREEMENT (OTA):",Second,2248
"THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE THE HSSM PROJECT OPTIONAL EFFORT, ADD ADDITIONAL FUNDING OF $600,000.00 TO FULLY FUND THE HSSM PROJECT OPTIONAL EFFORT CLIN 0007, AND DEOBLIGATE $125,000.00 FROM THE UICDS PROJECT CLIN 0008.",Second,2249
"THE PURPOSE OF THIS NO COST MODIFICATION IS AS FOLLOWS:

1) INCORPORATE ATTACHED STATEMENT OF WORK FOR OPTION YEAR 3 (AGREEMENT YEAR 6). 

ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",Second,2250
"THE NAVAL AIR WAREFARE CENTER AIRCRAFT DIVISION (NAWCAD) SEEKS TO INCREASE THE SUCCESSFUL OUTCOMES OF TECHNOLOGY TRANSFER, COMMERCIALIZATION, AND PARTNERING ACTIVITIES SIGNIFICANTLY OVER THE NEXT 5 YEARS, WHILE SIMULTANEOUSLY ACHIEVING EXCELLENCE IN OUR BASIC AND MISSION FOCUSED RESEARCH & DEVELOPMENT ACTIVITIESINCLUDING, BUT NOT LIMITED TO ONGOING ASSESSMENT OF THE COMMERCIALIZATION POTENTIAL OF THE NAWCWD EXTANT AND EMERGING INTELLECTUAL PROPERTY PORTFOLIO, STIMULATING AND EDUCATING NAWCWD SCIENTISTS AND ENGINEERS TO DEVELOP DUAL USE TECHNOLOGY PARTNERING IDEAS, NETWORKING, AND PARTNERSHIP FORMATION ACTIVITIES. THE PERIOD OF PERFORMANCE FOR THIS TOSA IS FIVE (5) MONTHS.",Second,2251
"THE PURPOSE OF THIS MODIFICATION IS TO CHANGE ""UNIT OF ISSUE"" FROM ""DOLLARS, US"" TO ""LOT"" IN ORDER TO CORRECT CDR G274459. THIS MODIFICATION ALSO CORRECTS AN ADMINISTRATIVE FUNDING ERROR ON SUBCLIN 000302.",Second,2252
LEASE OF CONCRETE PAD,Second,2253
"THE PURPOSE OF THIS MODIFICATION P00001 IS TO ALLOW FOR THE DELIVERY, INSTALLAION, AND INTEGRATION OF TWO ADDITIONAL SINGLE-PHASE RECOVERY TRANSFORMERS TO RESULT IN THE DELIVERY OF A 3-PHASE RECOVERY TRANSFORMER, AS DESCRIBED IN THE REVISED STATEMENT OF WORK AND REVISED DELIVERABLE SCHEDULE.  AS A RESULT, THE TOTAL ESTIMATED VALUE OF THIS COST SHARING AGREEMENT WILL INCREASE BY $7,814,829, FROM $13,897,085 TO $21,711,914, AND THE TOTAL ESTIMATED GOVERNMENT COST SHARING CONTRIBUTION AND THE TOTAL ESTIMATED RECIPIENT COST SHARING CONTRIBUTION WILL INCREASE TO $10,855,957 EACH.  IN ADDITION, ADDITIONAL GOVERNMENT FUNDS OF $2,647,308.00 ARE OBLIGATED, INCREASING THE TOTAL OBLIGATED GOVERNMENT FUNDS FROM $4,372,854.00 TO $7,020,162.00.  ALSO, THE PERIOD OF PERFORMANCE IS EXTENDED THROUGH 31 JULY 2013 AND THE NAMES OF CERTAIN GOVERNMENT AND RECIPIENT REPRESENTATIVES ARE CHANGED.",Second,2254
ADD FUNDING IN SUPPORT OF THE RECOVERY TRANSFORMER PROJECT,Second,2255
ADD FUNDING IN SUPPORT OF THE RECOVERY TRANSFORMER PROJECT.,Second,2256
LEASE OF BUNKER SPACE,Second,2257
LEASE FOR CANINE MAGAZINE AT RSW FOR A PERIOD OF ONE (1) YEAR WITH FOUR (4) ONE-YEAR OPTIONS.,Second,2258
RENTAL OF SPACE FOR MAGAZINE PAD,Second,2259
FUNDING ONLY,Second,2260
"DIVISION: HSARPA
PPA: APEX STORE
PROGRAM: APEX STORE
PROJECT: BIOMETRIC SYSTEM ALTERNATIVES STUDY (BSAS)
PERFORMER: NATIONAL SAFE SKIES ALLIANCE (NSSA)
PROJECT MANAGER: BILL AITKENHEAD, 202-254-5842
LEAD SUPPORT STAFF: BETHANY CASTO, 703-342-2854
ALC: 70-08-1513
TAS: 70X0800, 7020810

THE PURPOSE OF NO-COST MODIFICATION NO. P00004 TO OTHER TRANSACTION NO. HSHQDC-09-9-00012 IS TO:

1) EXTEND THE PERIOD OF PERFORMANCE AS FOLLOWS:
FROM: 09/16/2009 THROUGH 09/30/2012
TO:   09/16/2009 THROUGH 09/30/2013;

2) REPLACE THE STATEMENT OF WORK (13 PAGES) AND STATEMENT OF WORK ADDENDUM (9 PAGES) FOR HSHQDC-09-9-00012 P00004, DATED AUGUST 2012;

3) CHANGE THE DHS CONTRACTING OFFICER'S REPRESENTATIVE (COR) FOR HSHQDC-09-9-00012 FROM MR. DOUG BAUER TO MR. WILLIAM AITKENHEAD.

ALL OTHER CHANGES TO THE OTHER TRANSACTION AGREEMENT DOCUMENT UNDER MODIFICATION P00004 HAVE BEEN MARKED IN BLUE TYPE. 

THE NEW PERIOD OF PERFORMANCE IS 09/16/2009 TO 09/30/2013.  THE TOTAL VALUE FOR THIS OTHER TRANSACTION AGREEMENT REMAINS UNCHANGED AS $3,139,236.90.  

ALL OTHER TERMS AND CONDITIONS NOT SPECIFICALLY REVISED AS A PART OF THIS MODIFICATION REMAIN UNCHANGED AND IN FULL FORCE AND EFFECT.",Second,2261
THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE PERIOD OF PERFORMANCE FOR TASK8B FROM 18 JULY 2013 TO 30SEPTEMBER 2013.,Second,2262
"THIS EFFORT SEEKS TO PROMOTE TECHNOLOGY COLLABORATION WITH INDUSTRY (ESPECIALLY SMALL BUSINESSES), ACADEME, FEDERAL/STATE/LOCAL GOVERNMENT AND OTHER ORGANIZATIONS WHICH SUPPORT THE MISSION OF ARDEC AND/OR ITS DOD CUSTOMERS TO DEVELOP, SUPPORT AND SUSTAIN ADVANCED TECHNOLOGIES FOR THE WARFIGHTER.  MAJOR TASKS TO BE ACCOMPLISHED DURING THIS TASK INCLUDE; TECHNOLOGY/CAPABILITY ASSESSMENTS, PARTNERSHIP AGREEMENT SUPPORT, AND A PROTOTYPING STRATEGIC PLAN.",Second,2263
"THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE ULOS ON VARIOUS ACRNS IDENTIFIED ON THIS AGREEMENT IN PREPARATION FOR CLOSEOUT.  THE TOTAL AGREEMENT PRICE HAS BEEN REDUCED FROM $4,683,431.00 BY $79,464.76 TO $4,603,966.24.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",Second,2264
"THE PURPOSE OF THIS ADMINISTRATIVE MODIFICATION IS TO CORRECT THE DE-OBLIGATION OF FUNDS UNDER P00008.   THOUGH THE TOTAL AMOUNTS OF FUNDS BEING DE-OBLIGATED ARE CORRECT, DUE TO AN ADMINISTRATIVE ERROR, THE DE-OBLIGATION OF THE FUNDS DID NOT POPULATE IN SECTION G OF P00008.  THIS MODIFICATION CORRECTS THAT ACTION.   ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",Second,2265
"UNDER THIS EFFORT, THE CONTRACTOR SHALL WORK TO PROVIDE MCWL WITH ACCESS TO A BROADER SPECTRUM OF INNOVATIVE AND NON-TRADITIONAL TECHNOLOGY PROVIDERS THAN ITS CURRENT MECHANISMS AND RESOURCES CAN PROVIDE.  IN PARTICULAR, THE CONTRACTOR SHALL ASSIST MCWL WITH THE IDENTIFICATION AND EVALUATION OF PROMISING TECHNOLOGY ALTERNATIVES WITH WHICH TO SUPPORT ITS EXPERIMENTATION EFFORTS.",Second,2266
ANNUAL FUNDING FOR EXPLOSIVE MAGAZINE STORAGE AT DETROIT METROPOLITAN AIRPORT.,Second,2267
"TECHNOLOGY ACCELERATION SUPPORT TO PATUXENT RIVER; LEVERAGE PAX RIVER TECHNOLOGY CORP (PRT) TO HELP STIMULATE TECHNICAL ECONOMIC DEVELOPMENT IN THE PATUXENT LOCAL ECONMY, ACCELERATE DUAL USE TECHNOLOGY TRANSFER, AND SUPPORT RAPID WARFIGHTER RESPONSE INITIATIVES, AMONG OTHER OUTCOMES.",Second,2268
AWARDED WERE FUNDING FOR 9 PROJECTS UNDER THE BASE (3) AND OPTION (6) EFFORTS FOR THE FOLLOWING THRUST AREAS:  FUEL PROCESSING RESEARCH; MODELING OF TIRE TERRAIN INTERACTION; MENTAL WORKLOAD ANALYSIS AND MODELING; AND OPEN ARCHITECTURE MODULAR SIMULATION.,Second,2269
"CONTRACTOR SHALL PROVIDE MONTHLY STATUS REPORTS REPRESENTING TASK ACTIVITIES PER SOW 4.3.1 SUCH AS EXERCISE STATUS, IDENTIFYING PROCESS WEAKNESSES IN JTAC MISSION EXECUTION TO INCLUDE OPERATION EFFICIENCIES, TIME TO KILL, COMMUNICATIONS WITH THE FA-18 AND OTHER USMC AIR ASSETS, WEAPON EFFECTS, PROCEDURAL EFFICIENCIES INCLUDING DOCTRINE, INSTRUCTION, TACTICS, AND READINESS THAT WILL BE USED DOD WIDE AS WELL AS RECOMMENDATIONS FOR PROCESS IMPROVEMENTS THAT MAY BE IMPLEMENTED INTO FUTURE JTAC EXERCISES.",Second,2270
"DIVISION: RESILIENT SYSTEMS DIVISION (RSD)    
PPA:  HSARPA
PROGRAM: RESPONSE&RECOVERY 
PROJECT:   RECOVERY TRANSFORMER
PERFORMER: EPRI
PROJECT MANAGER:  SARAH MAHMOOD, (202) 254-6721

THE PURPOSE OF MODIFICATION P00004 IS TO:
1.	EXTEND THE PERIOD OF PERFORMANCE END DATE FROM 07/31/2013 TO 01/31/2014.
2.	INCORPORATE UPDATED STATEMENT OF WORK.
3.	IN ACCORDANCE WITH THE ABOVE, THE FOLLOWING AREAS OF SAID AGREEMENT ARE CHANGED:
A.	ATTACHMENT 1: STATEMENT OF WORK
4.	THIS MODIFICATION AND THE FOLLOWING AGREEMENT CONSTITUTE THE ENTIRE UNDERSTANDING AND AGREEMENT BETWEEN THE PARTIES.  EXCEPT AS SPECIFIED OTHERWISE IN MODIFICATION P00004 HEREIN, ALL OTHER TERMS AND CONDITIONS OF AGREEMENT HSHQDC-09-9-00011 REMAIN UNCHANGED AND ARE IN FULL FORCE AND EFFECT.

CHANGES REFLECTED IN THIS AGREEMENT MODIFICATION P00004, WHETHER MATERIAL OR ADMINISTRATIVE, ARE MARKED AS RED BOLD ITALIC TEXT",Second,2271
INCREMENTAL FUNDING FOR PMPI-024 AWARD WITH WISENGINEERING LLC.,Second,2272
"THE PURPOSE OF THIS INCREMENTAL FUNDING MODIFICATION IS TO FUND TASK 1 OF  FLEXIBLE&FUSIBLE CONTROL SYSTEM  UNDER PMPI-1016 TO CONSORTIUM MEMBER WISENGINEERING, LLC IN THE PARTIAL AMOUNT OF $129,927.00 WHICH WAS COMPETED UNDER RPP 2013-1, RESEARCH AREA 4.1.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",Second,2273
THE PURPOSE OF THIS NO COST ADMINISTRATIVE ACTION IS TO UPDATE INFORMATION FOUND WITHIN THE AGREEMENT AND INCORPORATE REVISED SECURITY LANGUAGE WITH THE AGREEMENT TO CONFIRM WITH THE ISSUANCE OF THE DD-254 WITH ATTACHMENTS.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.,Second,2274
"THE PURPOSE OF THIS MODIFICATION IS TO FUND PMPI-1401 ""RAILGUN PROTOTYPE PROJECTILE AND FIRE CONTROL SYSTEM"", PMPI-1402 ""RAILGUN PROTOTYPE PRECISION TRACKING SYSTEM"" AND VARIOUS PROJECTS UNDER RPP 2014-2.  WORK UNDER THESE PROJECTS SHALL NOT BEGIN UNTIL SOSSEC RECEIVES DIRECTION FROM A SIGNED PROJECT MILESTONE AND PAYMENT INSTRUCTION OR TECHNICAL DIRECTION LETTER INSTRUCTING PERFORMANCE TO BEGIN.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",Second,2275
ADDITIONAL FUNDING FOR START-UP COSTS.,Second,2276
MOD TO ADD PHASE III TO OTA,Second,2277
"MOD TO ADD FUNDING IN THE AMOUNT OF $400,000.00 IN SUPPORT OF TASK REQUEST 01.",Second,2278
THE PURPOSE OF THIS MODIFICATION IS TO REFLECT THE NEW CAO FOR VLC AND MAKE APPROPRIATE REVISIONS TO THE OTA TERMS AND CONDITIONS AS A RESULT OF THE CAO CHANGE.,Second,2279
NO COST MODIFICATION TO ADD STOP WORK LANGUAGE AND CHANGE THE GOVERNMENT PROGAM MANAGER.,Second,2280
FUNDING FOR TASK REQUEST 02 VIA PHASE III OF VLC OTA,Second,2281
"THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND PROJECT AWARD WITH CAES INC.  PROJECT 2.1.2 AWARDED UNDER RPP 2013-1 IN THE AMOUNT OF $2,335,188.00 FOR TASKS 1A - 5 WORK.  
ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",Second,2282
"NANOTECHNOLOGY OTA FUNDING MOD",Second,2283
"THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTLY FUND PMPI 1010, STARE PHASE III TASK II FOR $360,000.00.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",Second,2284
"THE PURPOSE OF THIS MODIFICATION IS TO ISSUE THE DD-254 TO SOSSEC, INC. FOR CLASSIFIED PERFORMANCE UNDER PMPI-1401 ""RAILGUN PROTOTYPE PROJECTILE AND FIRE CONTROL SYSTEM"" WHICH WAS ORIGINALLY AWARDED UNDER W15QKN-12-9-1006 RPP 2014-1.  ONCE THE GOVERNMENT RECEIVES THE SUBCONTRACTOR S DD-254, THE RESPECTIVE CONSORTIUM MEMBER WILL BE AUTHORIZED TO BEGIN CLASSIFIED PERFORMANCE UNDER THIS ACTION.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",Second,2285
MODIFICATION TO ALLOW FOR THE COMPLETION OF THE HYBRID LUMINESCENT AMMUNITION PROJECT.  THE GOAL OF THE PROJECT WAS TO CONTINUE DEVELOPMENT OF ALTERNATE TRACER/DIM TRACER SMALL CALIBER PROJECTILES.,Second,2286
"THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE A ULO OF $30,639.61 ACROSS MULTIPLE SUB-CLINS.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",Second,2287
LEASE SPACE OF A CONCRETE PAD,Second,2288
"LEASE SPACE FOR THE CANINE PAD
ADMINISTRATIVE MODIFICATION TO CHANGE THE CONTRACT CAGE 
INFORMATION.",Second,2289
"THE PURPOSE OF THIS MODIFICATION IS TO FUND TASK 5 OF PMPI-1014-01, PROJECT AWARDED TO CONSORTIUM MEMBER TECHNOVATIVE APPLICATIONS FOR FULLY EVALUATED PROJECT TITLED, ""DEVELOPMENT, INTEGRATION AND EVALUATION OF RADAR SYSTEMS(S)"" IN THE AMOUNT OF $333,989.00 UNDER RPP 2013-1, RESEARCH AREA 3.1.1.  

THIS MODIFICATION WILL ALSO CORRECT THE  UNIT  OF MEASURE FOR CLIN 0018AB BY REMOVING  DOLLARS, U.S. .

ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",Second,2290
"THE PURPOSE OF THIS MODIFICATION IS TO FULLY FUND PMPI-1015 TO CONSORTIUM MEMBER WISENGINEERING, LLC FOR ""MISSION ASSURANCE, THREAT ALERT DISASTER RESILIENCY AND RESPONSE (MATADRR)"" IN THE FULL AMOUNT OF $387,961.00 WHICH WAS COMPETED UNDER RPP 2013-2, RESEARCH AREA 2.1.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",Second,2291
EXERCISE OF OPTION YR 1 FOR OTA NO. HSTS05-12-H-CMP423. TO EXTEND PERIOD OF PERFORMANCE (9/05/2013-9/04/2014) FOR USE OF LAND AT RSW AIRPORT.,Second,2292
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE FROM 15MONTHS TO 25 MONTHS WITH A COMPLETION DATE OF 10 SEPTEMBER 2014.  THIS MODIFICATION WILL ALSO INCORPORATE AN ADDITIONAL 6 TECHNOLOGY/CAPABILITY/ASSESMENTS UNDER SECTION 3.1 OF THE SOW.,Second,2293
RESEARCH AND DEVELOPMENT OF SEVEN (7) TALOS ROBOTICS PROTOTYPES.,Second,2294
"MOD P00001 _DESCOPE IN WORK_FUNDS DEOBLIGATION
IGF::OT::IGF",Second,2295
RENTAL SPACE FOR MAGAZINE PADS,Second,2296
"THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND TASK 6A-1 AND 6A-2 OF PMPI-1017-02, AWARDED UNDER RPP 2013-2, RESEARCH AREA 1.1.2 IN THE AMOUNT OF $240,237.00.  THE TOTAL FUNDING OBLIGATED UNDER THIS ACTION IS NOW $2,640,177.00.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",Second,2297
LEASE OF SPACE,Second,2298
"THE PURPOSE OF THIS MODIFICATION IS TO FULLY FUND PROJECT PMPI-1011, ENTITLED  ENTRY CONTROL POINT (ECP) BIOMETRIC COLLECTION AND PROCESSING , UNDER RPP 2013-1, RESEARCH AREA 1.1.2 IN THE AMOUNT OF $717,698.00 FOR THIS PROJECT.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",Second,2299
"THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND (REVISED) TASK 3, MILESTONES 13A, 14A + 15A OF PMPI-1014-03 IN THE AMOUNT OF $226,031.00 AWARDED TO CONSORTIUM MEMBER TECHNOVATIVE APPLICATIONS. PROJECT TITLED ""DEVELOPMENT, INTEGRATION AND EVALUATION OF RADAR SYSTEMS(S)"" HAS BEEN FULLY EVALUATED UNDER RPP 2013-1, RESEARCH AREA 3.1.1.  
ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",Second,2300
"THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND PROJECT PMPI-1012, WEAPONS OF MASS DESTRUCTION (WMD) BATTLE SPACE AWARENESS ARCHITECTURE PROTOTYPE IN THE FULL AMOUNT OF $95,550.00.  ALL OTHER TERMS AND CONDTIONS REMAIN THE SAME.",Second,2301
TSA/OLE PARKING FEE,Second,2302
"THE PURPOSE OF THIS MODIFICATION IS TO AWARD PMPI-1430, ENTITLED TYPE 1 SECURITY PROTOTYPE MODULE FOR ACTIVELY GUIDED ORDNANCE UNDER RPP-2014, RESEARCH AREA 3.1.2 AND INCREMENTALLY FUNDS MILESTONES 1 THROUGH 9 IN THE AMOUNT OF $1,669,500.00.  THE TOTAL COST OF THIS PROJECT IS $2,939,964.00.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",Second,2303
ACCESS CAPABILITY FOR SECURE ATG COMMUNICATION,Second,2304
ACCESS CAPABILITY FOR SECURE ATG COMMUNICATIONS,Second,2305
INCREMENTAL FUNDING FOR NEXT YEAR'S EFFORT IN CURRENT SCOPE OF WORK THRUST AREAS,Second,2306
"DIVISION: RESILIENT SYSTEMS DIVISION (RSD)    
PROGRAM: RESPONSE&RECOVERY 
PROJECT:   RECOVERY TRANSFORMER
PERFORMER: EPRI
PROJECT MANAGER:  SARAH MAHMOOD, (202) 254-6721

ALC: 70-08-1513

THE PURPOSE OF MODIFICATION P00005 IS TO:

1.	EXTEND THE PERIOD OF PERFORMANCE THROUGH 09/30/2014
2.	INCORPORATE UPDATED STATEMENT OF WORK AND DELIVERABLE SCHEDULE.
3.	IN ACCORDANCE WITH THE ABOVE, THE FOLLOWING AREAS OF SAID AGREEMENT ARE CHANGED:
A.	ATTACHMENT 1: STATEMENT OF WORK
B.	ATTACHMENT 2: DELIVERABLE SCHEDULE
4.	THIS MODIFICATION AND THE FOLLOWING AGREEMENT CONSTITUTE THE ENTIRE UNDERSTANDING AND AGREEMENT BETWEEN THE PARTIES.  EXCEPT AS SPECIFIED OTHERWISE IN MODIFICATION P00005 HEREIN, ALL OTHER TERMS AND CONDITIONS OF AGREEMENT HSHQDC-09-9-00011 REMAIN UNCHANGED AND ARE IN FULL FORCE AND EFFECT.
5.	CHANGES REFLECTED IN THIS AGREEMENT MODIFICATION P00005, WHETHER MATERIAL OR ADMINISTRATIVE, ARE MARKED AS RED BOLD ITALIC TEXT.",Second,2307
"DIVISION: RESILIENT SYSTEMS DIVISION (RSD)    
PROGRAM: RESPONSE&RECOVERY 
PROJECT:   RECOVERY TRANSFORMER
PERFORMER: EPRI
PROJECT MANAGER:  SARAH MAHMOOD, (202) 254-6721

ALC: 70-08-1513

THE PURPOSE OF MODIFICATION P00006 IS TO:
1.	INCORPORATE UPDATED STATEMENT OF WORK AND DELIVERABLE SCHEDULE.
2.	IN ACCORDANCE WITH THE ABOVE, THE FOLLOWING AREAS OF SAID AGREEMENT ARE CHANGED:
A.	ATTACHMENT 1: STATEMENT OF WORK
B.	ATTACHMENT 2: DELIVERABLE SCHEDULE
3.	THIS MODIFICATION AND THE FOLLOWING AGREEMENT CONSTITUTE THE ENTIRE UNDERSTANDING AND AGREEMENT BETWEEN THE PARTIES.  EXCEPT AS SPECIFIED OTHERWISE IN MODIFICATION P00006 HEREIN, ALL OTHER TERMS AND CONDITIONS OF AGREEMENT HSHQDC-09-9-00011 REMAIN UNCHANGED AND ARE IN FULL FORCE AND EFFECT.
CHANGES REFLECTED IN THIS AGREEMENT MODIFICATION P00006, WHETHER MATERIAL OR ADMINISTRATIVE, ARE MARKED AS RED BOLD ITALIC TEXT.",Second,2308
"THE PURPOSE OF THIS MODIFICATION IS INCREMENTALLY FUND TASK 1 AND TASK 2 IN THE AMOUNT OF $99,864.00 UNDER PMPI-1429,  PROTOTYPE ARCHITECTURE DEVELOPMENT TO ENABLE CIPHER-TEXT COALITION AGILITY IN A PROTECTED ENVIRONMENT (CT CAPE) SYSTEM , REQUEST FOR PROJECT PROPOSALS (RPP) 2014-2 RESEARCH AREA 4.1.  AFTER THIS INCREMENTALLY FUNDED PROJECT AWARD THERE WILL BE $497,535.00 REMAINING UNDER THIS PROJECT.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",Second,2309
